Country,League,Season,Match_Date,Home_Team,Away_Team,Full_Time_Home_Team_Goals,Full_Time_Away_Team_Goals,Full_Time_Result,DayOfWeek,Avg_Home_Goals_Last5,Avg_Away_Goals_Last5,DaysSinceLastMatchHome,DaysSinceLastMatchAway,Average_home_win_odds,Average_away_win_odds,Average_over_2.5_goals_odds,Average_under_2.5_goals_odds,Average_Asian_Handicap_Home_odds,Average_Asian_Handicap_Away_odds,has_favorite,diff_home_win_odds,diff_away_win_odds,Time_kick_off_bin
england,3,1718,15018912.0,Morecambe,Cheltenham,2.0,1.0,H,5.0,2.0,1.0,-1,-1,2.86,2.46,1.95,1.82,2.08,1.79,None,-0.08000000000000007,-0.03000000000000025,Afternoon
england,3,1718,15018912.0,Luton,Yeovil,8.0,2.0,H,5.0,8.0,2.0,-1,-1,1.61,5.55,1.93,1.84,1.78,2.07,Home,-0.010000000000000009,-0.6200000000000001,Afternoon
england,3,1718,15018912.0,Stevenage,Newport County,3.0,3.0,D,5.0,3.0,3.0,-1,-1,2.1,3.49,1.96,1.81,2.12,1.75,None,-0.29000000000000004,0.3400000000000003,Afternoon
england,3,1718,15018912.0,Exeter,Cambridge,1.0,0.0,H,5.0,1.0,0.0,-1,-1,2.16,3.41,2.03,1.75,1.88,1.95,None,-0.22999999999999998,0.20999999999999996,Afternoon
england,3,1718,15018912.0,Coventry,Notts County,3.0,0.0,H,5.0,3.0,0.0,-1,-1,2.16,3.33,1.89,1.88,1.87,1.97,None,-0.10999999999999988,-0.08999999999999986,Afternoon
england,3,1718,15018912.0,Wycombe,Lincoln,2.0,2.0,D,5.0,2.0,2.0,-1,-1,2.35,2.98,2.05,1.74,2.07,1.79,None,-0.33999999999999986,0.08999999999999986,Afternoon
england,3,1718,15018912.0,Accrington,Colchester,3.0,1.0,H,5.0,3.0,1.0,-1,-1,2.13,3.39,1.97,1.8,1.83,2.02,None,0.15999999999999992,-0.7099999999999995,Afternoon
england,3,1718,15018912.0,Crawley Town,Port Vale,1.0,3.0,A,5.0,1.0,3.0,-1,-1,2.98,2.37,2.03,1.75,1.81,2.04,None,0.08000000000000007,-0.19999999999999973,Afternoon
england,3,1718,15018912.0,Chesterfield,Grimsby,1.0,3.0,A,5.0,1.0,3.0,-1,-1,2.15,3.36,1.95,1.82,2.16,1.73,None,-0.6600000000000001,0.54,Afternoon
england,3,1718,15018912.0,Crewe,Mansfield,2.0,2.0,D,5.0,2.0,2.0,-1,-1,3.15,2.29,2.1,1.7,1.88,1.97,None,-0.77,0.2200000000000002,Afternoon
england,3,1718,15018912.0,Carlisle,Swindon,1.0,2.0,A,5.0,1.0,2.0,-1,-1,2.44,2.88,1.9,1.86,2.11,1.77,None,0.3799999999999999,-0.7200000000000002,Afternoon
england,3,1718,15018912.0,Forest Green,Barnet,2.0,2.0,D,5.0,2.0,2.0,-1,-1,2.16,3.34,1.9,1.86,2.18,1.72,None,-0.19999999999999973,-0.06000000000000005,Afternoon
england,3,1718,15024960.0,Lincoln,Morecambe,1.0,1.0,D,5.0,1.0,1.0,-1,-1,1.61,5.29,1.83,1.94,2.1,1.77,Home,-0.21999999999999997,1.0200000000000005,Afternoon
england,3,1718,15024960.0,Crewe,Newport County,1.0,1.0,D,5.0,1.5,2.0,7,7,2.29,3.12,1.94,1.84,1.98,1.87,None,-0.46999999999999975,0.5,Afternoon
england,3,1718,15024960.0,Grimsby,Coventry,0.0,2.0,A,5.0,0.0,2.0,-1,-1,2.75,2.64,2.05,1.74,1.98,1.86,None,0.040000000000000036,-0.08999999999999986,Afternoon
england,3,1718,15024960.0,Yeovil,Accrington,3.0,2.0,H,5.0,3.0,2.0,-1,-1,3.31,2.19,2.01,1.77,1.96,1.88,None,0.0,-0.10999999999999988,Afternoon
england,3,1718,15024960.0,Swindon,Exeter,1.0,1.0,D,5.0,1.0,1.0,-1,-1,2.45,2.89,1.9,1.87,2.11,1.77,None,-0.48,0.43000000000000016,Afternoon
england,3,1718,15024960.0,Mansfield,Forest Green,2.0,0.0,H,5.0,2.0,0.0,-1,-1,1.79,4.61,1.98,1.8,2.02,1.83,None,0.030000000000000027,-0.6399999999999997,Afternoon
england,3,1718,15024960.0,Port Vale,Wycombe,2.0,3.0,A,5.0,2.0,3.0,-1,-1,2.5,2.9,2.12,1.69,2.16,1.72,None,-0.1299999999999999,-0.050000000000000266,Afternoon
england,3,1718,15024960.0,Colchester,Stevenage,1.0,1.0,D,5.0,1.0,1.0,-1,-1,2.35,3.01,1.87,1.9,2.02,1.83,None,0.0,-0.20000000000000018,Afternoon
england,3,1718,15024960.0,Cambridge,Carlisle,1.0,2.0,A,5.0,1.0,2.0,-1,-1,2.18,3.31,1.87,1.91,1.9,1.94,None,-0.040000000000000036,-0.08999999999999986,Afternoon
england,3,1718,15024960.0,Cheltenham,Crawley Town,1.0,0.0,H,5.0,1.0,0.0,-1,-1,2.03,3.77,2.02,1.76,2.02,1.83,None,-0.050000000000000266,-0.009999999999999787,Afternoon
england,3,1718,15024960.0,Barnet,Luton,1.0,0.0,H,5.0,1.0,0.0,-1,-1,3.21,2.25,1.91,1.86,1.89,1.95,None,-0.41000000000000014,0.16999999999999993,Afternoon
england,3,1718,15031008.0,Exeter,Lincoln,1.0,0.0,H,5.0,1.0,1.0,14,14,2.23,3.29,1.98,1.79,1.89,1.96,None,-0.54,0.52,Afternoon
england,3,1718,15031008.0,Wycombe,Notts County,2.0,4.0,A,5.0,2.0,2.0,14,14,2.15,3.38,2.02,1.75,1.85,1.99,None,-0.10000000000000009,-0.040000000000000036,Afternoon
england,3,1718,15031008.0,Coventry,Newport County,0.0,1.0,A,5.0,1.5,1.67,14,7,1.89,4.17,1.97,1.81,1.86,1.98,None,-0.010000000000000009,0.019999999999999574,Afternoon
england,3,1718,15031008.0,Morecambe,Swindon,0.0,1.0,A,5.0,1.0,1.5,14,14,2.89,2.41,1.79,1.99,1.78,2.08,None,-0.04999999999999982,-0.009999999999999787,Afternoon
england,3,1718,15031008.0,Luton,Colchester,3.0,0.0,H,5.0,5.5,0.5,14,14,1.65,5.17,1.83,1.95,1.83,2.01,Home,-0.020000000000000018,-0.23000000000000043,Afternoon
england,3,1718,15031008.0,Crewe,Barnet,1.0,0.0,H,5.0,1.33,1.0,7,14,2.67,2.63,1.92,1.86,1.93,1.91,None,-0.1200000000000001,0.04999999999999982,Afternoon
england,3,1718,15031008.0,Accrington,Mansfield,2.0,1.0,H,5.0,2.5,1.5,14,14,2.81,2.53,1.95,1.84,2.04,1.81,None,-0.04999999999999982,-0.10000000000000009,Afternoon
england,3,1718,15031008.0,Carlisle,Cheltenham,3.0,0.0,H,5.0,2.0,0.5,14,14,1.99,3.73,1.82,1.96,1.99,1.85,None,-0.07000000000000006,0.2599999999999998,Afternoon
england,3,1718,15031008.0,Chesterfield,Port Vale,2.0,0.0,H,5.0,1.5,1.5,14,14,2.41,2.92,1.92,1.86,2.09,1.77,None,-0.009999999999999787,-0.1200000000000001,Afternoon
england,3,1718,15031008.0,Crawley Town,Cambridge,0.0,1.0,A,5.0,0.5,0.5,14,14,3.19,2.28,2.06,1.73,1.86,1.98,None,-0.43999999999999995,0.09999999999999964,Afternoon
england,3,1718,15031008.0,Stevenage,Grimsby,3.0,1.0,H,5.0,3.0,2.0,14,14,2.24,3.2,1.98,1.79,1.94,1.91,None,0.20000000000000018,-0.7399999999999998,Afternoon
england,3,1718,15031008.0,Forest Green,Yeovil,4.0,3.0,H,5.0,3.0,2.5,14,14,2.0,3.77,1.86,1.9,1.99,1.85,None,-0.2599999999999998,0.4900000000000002,Afternoon
england,3,1718,15036192.0,Notts County,Accrington,2.0,2.0,D,4.0,2.0,2.0,-1,13,2.43,2.83,1.83,1.95,2.1,1.77,None,0.050000000000000266,-0.20999999999999996,Afternoon
england,3,1718,15037056.0,Port Vale,Crewe,0.0,1.0,A,5.0,1.0,1.0,14,-1,2.33,2.98,1.8,1.98,2.01,1.84,None,-0.08000000000000007,-0.06000000000000005,Afternoon
england,3,1718,15037056.0,Mansfield,Luton,2.0,2.0,D,5.0,2.0,1.0,14,14,2.33,3.04,1.94,1.84,2.04,1.82,None,-0.33000000000000007,0.27,Afternoon
england,3,1718,15037056.0,Newport County,Chesterfield,4.0,1.0,H,5.0,4.0,1.0,-1,-1,2.25,3.12,1.91,1.87,1.96,1.89,None,0.16000000000000014,-0.6000000000000001,Afternoon
england,3,1718,15037056.0,Barnet,Stevenage,0.0,1.0,A,5.0,0.5,1.0,14,14,2.49,2.81,1.84,1.94,2.16,1.74,None,0.0,-0.18999999999999995,Afternoon
england,3,1718,15037056.0,Cheltenham,Exeter,3.0,4.0,A,5.0,2.0,2.5,14,14,2.74,2.52,1.78,2.02,1.73,2.18,None,-0.1599999999999997,0.06000000000000005,Afternoon
england,3,1718,15037056.0,Cambridge,Morecambe,0.0,0.0,D,5.0,0.5,0.5,14,14,1.8,4.24,1.69,2.14,2.05,1.81,None,-0.050000000000000044,-0.09999999999999964,Afternoon
england,3,1718,15037056.0,Lincoln,Carlisle,4.0,1.0,H,5.0,2.5,1.5,14,14,2.09,3.39,1.72,2.09,1.83,2.03,None,-0.03000000000000025,-0.31999999999999984,Afternoon
england,3,1718,15037056.0,Yeovil,Coventry,2.0,0.0,H,5.0,2.5,1.0,14,14,3.52,2.08,1.98,1.8,2.09,1.78,None,0.0,-0.06999999999999984,Afternoon
england,3,1718,15037056.0,Grimsby,Wycombe,2.0,3.0,A,5.0,1.0,3.0,14,14,2.84,2.51,1.97,1.81,2.12,1.76,None,-0.30000000000000027,-0.020000000000000018,Afternoon
england,3,1718,15037056.0,Colchester,Forest Green,5.0,1.0,H,5.0,3.0,0.5,14,14,2.48,2.76,1.66,2.19,2.19,1.71,None,0.06999999999999984,-0.31000000000000005,Afternoon
england,3,1718,15037056.0,Swindon,Crawley Town,0.0,3.0,A,5.0,0.5,1.5,14,14,1.84,4.04,1.68,2.16,2.11,1.77,None,0.14000000000000012,-1.08,Afternoon
england,3,1718,15043104.0,Cambridge,Colchester,1.0,0.0,H,5.0,0.67,0.33,7,14,2.03,3.63,1.89,1.9,2.03,1.83,None,-0.1900000000000004,0.1499999999999999,Afternoon
england,3,1718,15043104.0,Chesterfield,Coventry,0.0,0.0,D,5.0,1.0,0.67,14,7,3.21,2.23,1.97,1.82,1.91,1.94,None,-0.27,0.0,Afternoon
england,3,1718,15043104.0,Morecambe,Accrington,1.0,2.0,A,5.0,1.0,2.0,14,8,3.34,2.12,1.79,2.0,2.01,1.84,None,-0.43999999999999995,0.11000000000000032,Afternoon
england,3,1718,15043104.0,Carlisle,Mansfield,1.0,1.0,D,5.0,1.67,1.33,14,14,3.01,2.29,1.76,2.04,1.86,1.99,None,0.25,-0.3799999999999999,Afternoon
england,3,1718,15043104.0,Port Vale,Notts County,0.0,1.0,A,5.0,0.67,1.67,7,14,2.7,2.56,1.8,1.98,2.0,1.85,None,-0.7199999999999998,0.26000000000000023,Afternoon
