Country,League,Season,Match_Date,Home_Team,Away_Team,Full_Time_Home_Team_Goals,Full_Time_Away_Team_Goals,Full_Time_Result,Home_Team_Shots,Away_Team_Shots,Home_Team_Shots_on_Target,Away_Team_Shots_on_Target,Home_Team_Corners,Away_Team_Corners,Home_Team_Yellow_Cards,Away_Team_Yellow_Cards,Home_Team_Red_Cards,Away_Team_Red_Cards,DayOfWeek,is_Weekend,Home_Team_Fouls_Committed,Away_Team_Fouls_Committed,over_2.5,Average_home_win_odds,Average_away_win_odds,Average_draw_odds,Average_over_2.5_goals_odds,Average_under_2.5_goals_odds,Average_Asian_Handicap_Home_odds,Average_Asian_Handicap_Away_odds,Close_home_win_odds,Close_draw_odds,Close_away_win_odds,has_favorite,Time_kick_off_bin
england,2,1718,2017-08-05,Doncaster,Gillingham,0.0,0.0,D,16.0,5.0,7.0,3.0,10.0,4.0,0.0,1.0,0.0,0.0,5.0,1,4.0,15.0,0,1.7825,4.5675,3.59,1.88,1.88,0.645,2.06,1.69,3.96,5.45,0,Afternoon
england,2,1718,2017-08-05,Southend,Blackburn,2.0,1.0,H,15.0,7.0,7.0,2.0,6.0,3.0,0.0,3.0,0.0,0.0,5.0,1,10.0,17.0,1,2.77875,2.5675,3.2325000000000004,2.06,1.73,0.995,1.86,2.96,3.36,2.56,0,Afternoon
england,2,1718,2017-08-05,Bradford,Blackpool,2.0,1.0,H,15.0,9.0,4.0,3.0,3.0,3.0,1.0,2.0,0.0,0.0,5.0,1,7.0,9.0,1,1.6150000000000002,6.0325,3.6950000000000003,2.19,1.64,0.53,2.04,1.69,3.97,5.5,1,Afternoon
england,2,1718,2017-08-05,Fleetwood Town,Rotherham,2.0,0.0,H,9.0,8.0,3.0,2.0,0.0,6.0,2.0,1.0,0.0,0.0,5.0,1,10.0,13.0,0,2.26125,3.16125,3.32,2.04,1.75,0.845,1.91,2.2,3.38,3.66,0,Afternoon
england,2,1718,2017-08-05,Charlton,Bristol Rvs,1.0,0.0,H,9.0,14.0,2.0,3.0,6.0,9.0,0.0,1.0,1.0,0.0,5.0,1,8.0,14.0,0,2.2925,3.0925000000000002,3.35125,1.88,1.89,0.885,1.83,2.19,3.66,3.39,0,Afternoon
england,2,1718,2017-08-05,Portsmouth,Rochdale,2.0,0.0,H,11.0,8.0,3.0,1.0,4.0,5.0,0.0,0.0,1.0,1.0,5.0,1,13.0,13.0,0,1.9212500000000001,4.0075,3.455,1.94,1.83,0.715,1.92,2.01,3.66,3.93,0,Afternoon
england,2,1718,2017-08-05,Bury,Walsall,1.0,0.0,H,11.0,5.0,7.0,2.0,3.0,5.0,2.0,1.0,0.0,0.0,5.0,1,12.0,16.0,0,2.01,3.715,3.3825000000000003,1.98,1.79,0.7649999999999999,1.82,2.02,3.55,4.03,0,Afternoon
england,2,1718,2017-08-05,Scunthorpe,AFC Wimbledon,1.0,1.0,D,12.0,15.0,6.0,4.0,1.0,7.0,0.0,1.0,0.0,0.0,5.0,1,15.0,9.0,0,1.9075,4.08875,3.4387499999999998,2.04,1.74,0.725,1.9,2.09,3.46,3.89,0,Afternoon
england,2,1718,2017-08-05,Oldham,Oxford,0.0,2.0,A,9.0,12.0,2.0,7.0,9.0,2.0,1.0,2.0,0.0,0.0,5.0,1,5.0,12.0,0,2.835,2.59,3.125,2.41,1.53,1.015,1.82,2.87,3.25,2.71,0,Afternoon
england,2,1718,2017-08-05,Milton Keynes Dons,Wigan,0.0,1.0,A,6.0,14.0,1.0,6.0,2.0,2.0,2.0,3.0,1.0,1.0,5.0,1,12.0,12.0,0,2.4124999999999996,3.00375,3.23875,2.12,1.68,0.905,1.79,2.5,3.32,3.08,0,Afternoon
england,2,1718,2017-08-05,Peterboro,Plymouth,2.0,1.0,H,17.0,16.0,8.0,6.0,2.0,11.0,2.0,2.0,0.0,0.0,5.0,1,13.0,16.0,1,2.0687499999999996,3.5387500000000003,3.4225,1.94,1.83,0.7849999999999999,1.79,2.13,3.64,3.57,0,Afternoon
england,2,1718,2017-08-05,Shrewsbury,Northampton,1.0,0.0,H,12.0,5.0,2.0,1.0,7.0,4.0,2.0,1.0,0.0,0.0,5.0,1,17.0,17.0,0,2.4312500000000004,2.91625,3.2612500000000004,2.03,1.75,0.9099999999999999,1.79,2.57,3.43,2.9,0,Afternoon
england,2,1718,2017-08-12,Bristol Rvs,Peterboro,1.0,4.0,A,20.0,16.0,7.0,6.0,6.0,4.0,1.0,2.0,0.0,0.0,5.0,1,8.0,8.0,1,2.0375,3.55,3.5112500000000004,1.74,2.05,0.76,2.1,1.78,4.32,4.36,0,Afternoon
england,2,1718,2017-08-12,Oxford,Portsmouth,3.0,0.0,H,11.0,7.0,5.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,5.0,1,8.0,8.0,1,2.50375,2.85375,3.2625,2.12,1.69,0.91,2.04,2.72,3.37,2.77,0,Afternoon
england,2,1718,2017-08-12,Blackpool,Milton Keynes Dons,1.0,0.0,H,11.0,13.0,6.0,2.0,4.0,10.0,0.0,0.0,0.0,0.0,5.0,1,9.0,8.0,0,2.935,2.42625,3.29375,2.1,1.71,1.0150000000000001,2.09,3.07,3.31,2.52,0,Afternoon
england,2,1718,2017-08-12,Plymouth,Charlton,2.0,0.0,H,14.0,14.0,4.0,7.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,1,11.0,9.0,0,2.5862499999999997,2.77375,3.24625,2.06,1.74,0.93,1.99,2.87,3.4,2.62,0,Afternoon
england,2,1718,2017-08-12,Walsall,Oldham,2.0,1.0,H,16.0,10.0,5.0,6.0,8.0,4.0,2.0,3.0,0.0,0.0,5.0,1,12.0,12.0,1,2.20625,3.4987500000000002,3.14375,2.5,1.5,0.815,1.96,2.37,3.11,3.56,0,Afternoon
england,2,1718,2017-08-12,AFC Wimbledon,Shrewsbury,0.0,1.0,A,6.0,14.0,2.0,5.0,2.0,4.0,2.0,2.0,0.0,0.0,5.0,1,14.0,19.0,0,1.98375,4.05,3.2737499999999997,2.27,1.6,0.745,1.86,2.04,3.43,4.12,0,Afternoon
england,2,1718,2017-08-12,Rotherham,Southend,5.0,0.0,H,17.0,10.0,10.0,3.0,5.0,3.0,2.0,1.0,0.0,0.0,5.0,1,19.0,22.0,1,2.46375,2.87,3.3175,2.01,1.76,0.935,1.75,2.42,3.6,2.99,0,Afternoon
england,2,1718,2017-08-12,Northampton,Fleetwood Town,0.0,1.0,A,12.0,11.0,4.0,4.0,6.0,4.0,0.0,2.0,0.0,0.0,5.0,1,8.0,9.0,0,2.7025,2.65625,3.23375,2.08,1.72,0.97,1.9,2.67,3.3,2.87,0,Afternoon
england,2,1718,2017-08-12,Blackburn,Doncaster,1.0,3.0,A,11.0,11.0,4.0,4.0,5.0,3.0,2.0,0.0,0.0,0.0,5.0,1,10.0,9.0,1,1.8687500000000001,4.19125,3.5575,1.97,1.81,0.68,2.0,2.02,3.7,3.87,0,Afternoon
england,2,1718,2017-08-12,Gillingham,Bradford,0.0,1.0,A,11.0,10.0,2.0,5.0,4.0,5.0,2.0,3.0,1.0,0.0,5.0,1,12.0,15.0,0,3.78375,1.995,3.435,2.03,1.75,1.175,1.99,4.2,3.72,1.93,0,Afternoon
england,2,1718,2017-08-13,Wigan,Bury,4.0,1.0,H,11.0,5.0,6.0,3.0,5.0,3.0,1.0,4.0,0.0,0.0,6.0,1,15.0,14.0,1,1.94625,3.9712499999999995,3.425,2.05,1.72,0.715,1.92,1.9,3.52,4.65,0,Afternoon
england,2,1718,2017-08-19,Southend,Plymouth,1.0,1.0,D,16.0,10.0,3.0,4.0,16.0,5.0,1.0,2.0,0.0,0.0,5.0,1,10.0,14.0,0,1.9975,3.76,3.45625,1.96,1.8,0.74,1.87,1.86,3.74,4.53,0,Afternoon
england,2,1718,2017-08-19,Scunthorpe,Oxford,1.0,0.0,H,17.0,13.0,5.0,4.0,7.0,2.0,1.0,2.0,0.0,0.0,5.0,1,8.0,12.0,0,2.4375,2.9025,3.29,1.97,1.8,0.9199999999999999,1.77,2.5,3.44,2.98,0,Afternoon
england,2,1718,2017-08-19,Shrewsbury,Rochdale,3.0,2.0,H,14.0,16.0,10.0,6.0,3.0,7.0,0.0,2.0,0.0,0.0,5.0,1,7.0,14.0,1,2.5324999999999998,2.8200000000000003,3.2675,1.99,1.79,0.93,1.98,2.73,3.41,2.74,0,Afternoon
england,2,1718,2017-08-19,Milton Keynes Dons,Gillingham,1.0,0.0,H,15.0,13.0,5.0,1.0,6.0,3.0,1.0,2.0,0.0,0.0,5.0,1,10.0,15.0,0,1.6400000000000001,5.41,3.82125,1.85,1.92,0.54,2.02,1.61,4.22,6.0,1,Afternoon
england,2,1718,2017-08-19,Oldham,Wigan,0.0,2.0,A,4.0,13.0,2.0,4.0,6.0,6.0,2.0,2.0,0.0,0.0,5.0,1,11.0,16.0,0,4.12625,1.9537499999999999,3.3162499999999997,2.41,1.53,1.1949999999999998,1.95,4.51,3.34,1.98,0,Afternoon
england,2,1718,2017-08-19,Peterboro,Rotherham,2.0,1.0,H,13.0,13.0,6.0,2.0,4.0,8.0,1.0,3.0,0.0,0.0,5.0,1,9.0,20.0,1,2.3512500000000003,2.9762500000000003,3.39625,1.71,2.08,0.885,1.82,2.34,3.62,3.1,0,Afternoon
england,2,1718,2017-08-19,Bury,Bristol Rvs,2.0,3.0,A,9.0,26.0,5.0,13.0,3.0,6.0,0.0,0.0,0.0,0.0,5.0,1,11.0,7.0,1,2.4162500000000002,2.86,3.42,1.85,1.93,0.925,1.77,2.8,3.43,2.65,0,Afternoon
england,2,1718,2017-08-19,Charlton,Northampton,4.0,1.0,H,19.0,7.0,9.0,4.0,6.0,2.0,2.0,2.0,0.0,0.0,5.0,1,8.0,7.0,1,1.8325,4.376250000000001,3.54375,1.91,1.87,0.66,2.03,1.96,3.58,4.23,0,Afternoon
england,2,1718,2017-08-19,Fleetwood Town,AFC Wimbledon,2.0,0.0,H,4.0,9.0,2.0,1.0,4.0,8.0,2.0,1.0,0.0,0.0,5.0,1,11.0,11.0,0,1.9825,4.07,3.2800000000000002,2.25,1.61,0.74,1.86,2.22,3.18,3.82,0,Afternoon
england,2,1718,2017-08-19,Bradford,Blackburn,0.0,1.0,A,9.0,9.0,2.0,4.0,1.0,4.0,4.0,2.0,0.0,0.0,5.0,1,16.0,15.0,0,2.2775,3.27,3.22125,2.28,1.59,0.86,1.87,2.68,3.23,2.92,0,Afternoon
