Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
E2,24/11/01,Northampton,Wigan,0,2,A,0,1,A,4267.0,C Pinton,10,11,3,4,0,0,9,10,12,,1,8,1,1,0,0,10,10,2.4,3.1,2.65,2.35,3.0,2.35,2.5,3.2,2.5,2.38,3.2,2.62,2.25,3.25,2.75,2.3,3.3,2.62
E2,15/09/01,Swindon,Tranmere,2,2,D,1,1,D,6089.0,M. G. Cowburn,17,12,11,10,2,0,1,10,17,,2,3,3,2,0,1,30,45,,,,2.1,3.0,2.8,2.2,3.25,2.75,2.1,3.25,3.0,2.1,3.25,3.0,2.1,3.25,3.0
E2,06/11/01,Blackpool,Stoke,2,2,D,0,0,D,4921.0,N. S. Barry,11,6,5,3,1,1,8,5,3,,7,8,2,1,0,0,20,10,2.68,3.25,2.3,2.6,3.0,2.2,3.0,3.25,2.1,2.75,3.25,2.25,2.8,3.25,2.2,2.7,3.2,2.3
E2,06/04/02,Peterboro,Brighton,0,1,A,0,0,D,8321.0,"Frankland, G. B.",21,12,8,6,0,0,12,1,8,,2,3,2,1,0,0,20,10,3.5,3.25,1.9,3.0,3.1,1.9,3.4,3.4,1.91,3.6,3.4,1.833,3.5,3.6,1.8,3.5,3.25,1.9
E2,20/04/02,Swindon,Wycombe,1,1,D,0,1,A,7492.0,"Jordan, W. M.",16,10,8,3,0,0,10,4,7,,3,3,2,1,0,0,20,10,2.0,3.2,3.3,,,,2.2,3.25,2.87,2.1,3.2,2.875,2.2,3.25,2.8,2.0,3.25,3.25
E2,12/02/02,Tranmere,Northampton,2,0,H,0,0,D,7739.0,"Parkes, T. A.",11,9,6,2,0,0,5,0,13,,10,3,1,2,0,0,10,20,1.55,3.5,5.5,1.55,3.3,4.5,1.57,3.6,5.0,1.533,3.4,6.0,1.571,3.6,5.0,1.57,3.4,5.5
E2,30/03/02,Port Vale,Wigan,1,0,H,1,0,H,4359.0,"Alcock, P. E.",2,9,1,5,0,0,3,4,6,,1,2,0,0,0,0,0,0,2.3,3.15,2.75,2.3,2.9,2.5,2.5,3.2,2.5,2.3,3.2,2.7,2.25,3.25,2.75,2.37,3.2,2.62
E2,12/03/02,Brentford,Chesterfield,0,0,D,0,0,D,5372.0,"Alcock, P. E.",15,4,6,2,1,0,12,2,14,,2,1,0,2,0,0,0,20,1.42,3.7,7.0,1.4,3.6,5.5,1.44,3.75,6.5,1.444,3.6,7.0,1.364,4.0,7.5,1.4,3.6,8.0
E2,11/02/02,Brighton,Reading,3,1,H,0,0,D,6756.0,"Alcock, P. E.",14,4,7,2,0,0,10,6,8,,5,6,1,0,0,0,10,0,2.35,3.2,2.65,,,,2.37,3.2,2.62,2.375,3.2,2.625,2.375,3.2,2.6,2.3,3.2,2.7
E2,23/10/01,Wrexham,Blackpool,1,1,D,1,0,H,5640.0,R. J. Harris,8,9,4,6,0,1,10,9,14,,4,4,1,2,0,0,10,20,2.15,3.3,2.9,2.2,3.0,2.6,2.37,3.4,2.5,2.2,3.25,2.8,2.38,3.2,2.6,2.1,3.25,3.0
E2,30/03/02,Notts County,Bournemouth,2,0,H,1,0,H,9014.0,"Jordan, W. M.",18,5,13,0,0,0,9,1,11,,4,3,2,5,0,0,20,50,1.75,3.3,4.15,1.75,2.9,3.8,1.73,3.25,4.33,1.727,3.25,4.333,1.8,3.25,4.0,1.8,3.2,4.0
E2,08/09/01,Brentford,Tranmere,4,0,H,1,0,H,5211.0,P. Walton,15,5,9,3,1,0,9,5,24,,5,3,1,0,0,0,10,0,,,,1.9,3.1,3.0,1.8,3.4,3.75,2.0,3.25,3.25,2.1,3.4,2.88,2.0,3.25,3.25
E2,22/09/01,Wigan,QPR,1,2,A,1,1,D,6686.0,A. N. Butler,9,11,7,8,0,0,1,11,9,,10,3,2,3,0,0,20,30,,,,1.9,3.1,3.0,2.0,3.25,3.25,2.0,3.4,3.1,2.2,3.25,2.8,,,
E2,16/03/02,Stoke,Peterboro,1,0,H,1,0,H,12983.0,"Fernandez, R",14,11,7,4,0,0,4,9,4,,1,3,0,2,0,0,0,20,1.45,3.78,6.15,1.4,3.6,5.5,1.44,3.75,6.5,1.4,4.0,6.5,1.4,4.0,6.5,1.44,3.6,7.0
E2,23/02/02,Port Vale,QPR,1,0,H,1,0,H,6228.0,"Brandwood, M. J.",8,9,4,3,0,0,4,7,7,,1,0,1,2,0,0,10,20,2.1,3.25,3.0,1.85,3.0,3.3,1.91,3.4,3.4,1.909,3.25,3.5,1.833,3.4,3.6,,,
E2,22/09/01,Cardiff,Huddersfield,1,2,A,1,1,D,12280.0,M. J. Brandwood,9,9,5,6,0,0,4,1,11,,0,3,2,2,0,0,20,20,,,,2.0,3.0,2.9,2.1,3.25,3.0,2.0,3.25,3.25,2.1,3.25,3.0,2.0,3.25,3.25
E2,08/09/01,Bournemouth,Swindon,0,0,D,0,0,D,3770.0,R. J. Beeby,11,10,3,3,0,0,3,9,11,10.0,4,2,3,1,0,0,30,10,,,,2.1,3.0,2.8,2.1,3.25,3.0,2.2,3.25,2.8,2.25,3.4,2.62,2.2,3.25,2.8
E2,09/02/02,Huddersfield,Tranmere,2,1,H,0,1,A,15784.0,"Richards, P. R.",15,7,7,4,0,0,6,7,16,17.0,3,2,3,3,0,0,30,30,1.98,3.25,3.3,1.9,3.0,3.1,2.0,3.25,3.25,1.95,3.25,3.4,2.2,3.25,2.8,1.9,3.25,3.5
E2,13/01/02,Swindon,Bristol City,1,2,A,0,1,A,7273.0,"Rennie, U. D.",11,8,2,6,0,0,6,5,16,16.0,7,7,4,0,1,0,65,0,2.75,3.1,2.33,2.4,3.0,2.3,2.62,3.2,2.37,2.7,3.2,2.3,2.75,3.25,2.25,2.7,3.2,2.3
E2,12/03/02,Wycombe,Huddersfield,2,4,A,0,2,A,5546.0,"Beeby, R. J.",10,15,6,7,0,1,5,5,13,10.0,2,1,3,2,0,0,30,20,2.5,3.25,2.45,2.4,3.0,2.3,2.5,3.2,2.5,2.375,3.2,2.625,2.375,3.2,2.6,2.6,3.2,2.4
