Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
E2,20/11/12,Shrewsbury,Milton Keynes Dons,2.0,,D,0.0,1.0,A,8.0,10.0,6.0,7.0,8.0,8.0,3.0,4.0,0.0,2.0,0.0,0.0,3.8,3.3,2.0,3.4,3.4,1.95,3.4,3.4,1.95,3.0,3.1,2.1,3.5,3.4,2.05,4.13,3.46,2.0,3.8,3.3,2.0,3.75,3.3,2.0,4.1,3.4,2.05,3.75,3.3,2.05,40.0,4.86,4.01,3.56,3.38,2.0,1.9,36.0,2.24,2.11,1.76,1.7,20.0,0.5,2.04,1.98,1.92,1.84,4.63,3.67,1.87
E2,18/09/12,Portsmouth,Swindon,1.0,,A,0.0,1.0,A,10.0,13.0,5.0,8.0,7.0,13.0,6.0,8.0,1.0,2.0,0.0,0.0,3.3,3.5,2.1,3.1,3.3,2.1,3.1,3.3,2.1,2.6,3.1,2.3,3.0,3.4,2.3,3.64,3.45,2.15,3.3,3.4,2.15,3.0,3.3,2.3,3.6,3.4,2.2,3.25,3.4,2.1,39.0,3.71,3.28,3.51,3.34,2.3,2.14,34.0,2.0,1.89,1.98,1.9,19.0,0.25,2.09,2.03,1.87,1.84,3.92,3.4,2.1
E2,13/10/12,Sheffield United,Oldham,1.0,,D,0.0,0.0,D,5.0,14.0,2.0,5.0,16.0,15.0,2.0,4.0,4.0,4.0,0.0,0.0,1.62,3.75,5.5,1.65,3.4,5.0,1.65,3.4,5.0,1.55,3.5,4.8,1.62,3.75,5.5,1.67,4.06,5.45,1.67,3.6,5.5,1.62,3.6,5.25,1.67,4.0,5.5,1.67,3.8,5.0,38.0,1.74,1.65,3.92,3.66,5.52,5.22,33.0,1.92,1.84,2.05,1.96,19.0,-0.75,1.98,1.92,1.98,1.95,1.85,3.69,4.68
E2,15/09/12,Stevenage,Crewe,2.0,,D,1.0,2.0,A,14.0,7.0,7.0,5.0,9.0,10.0,6.0,5.0,1.0,1.0,0.0,1.0,1.73,3.5,5.0,1.72,3.4,4.5,1.72,3.4,4.5,1.8,3.3,3.6,1.83,3.4,4.33,1.81,3.67,4.9,1.83,3.2,4.8,1.73,3.5,4.8,1.83,3.6,5.0,1.83,3.5,4.33,37.0,1.83,1.76,3.76,3.46,5.02,4.56,33.0,2.08,1.99,1.87,1.8,16.0,-0.5,1.76,1.73,2.19,2.15,1.8,3.71,5.03
E2,02/03/13,Stevenage,Colchester,0.0,,A,0.0,0.0,D,7.0,13.0,2.0,5.0,10.0,7.0,5.0,8.0,2.0,0.0,0.0,0.0,2.4,3.4,3.2,2.25,3.2,2.9,2.25,3.2,2.9,2.1,3.1,3.0,2.15,3.4,3.25,2.41,3.4,3.12,2.4,3.1,3.1,2.2,3.4,3.2,2.4,3.4,3.12,2.2,3.4,3.2,38.0,2.41,2.27,3.4,3.24,3.3,3.08,36.0,2.01,1.91,1.95,1.87,18.0,-0.25,2.08,2.02,1.95,1.85,2.43,3.41,3.13
E2,18/09/12,Preston,Hartlepool,5.0,,H,2.0,0.0,H,17.0,12.0,10.0,4.0,4.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,1.67,3.5,5.5,1.7,3.3,4.75,1.7,3.3,4.75,1.65,3.4,4.2,1.73,3.5,5.0,1.74,3.57,5.75,1.8,3.3,5.0,1.73,3.4,4.8,1.75,3.5,5.75,1.75,3.5,4.5,39.0,1.8,1.73,3.66,3.48,5.73,4.89,34.0,2.03,1.96,1.89,1.83,19.0,-0.75,1.99,1.93,1.98,1.93,2.06,3.31,4.2
E2,29/12/12,Shrewsbury,Brentford,0.0,,D,0.0,0.0,D,11.0,8.0,4.0,1.0,7.0,5.0,6.0,8.0,0.0,0.0,0.0,0.0,3.4,3.4,2.1,3.3,3.25,2.05,3.3,3.25,2.05,3.1,3.2,2.0,3.4,3.4,2.1,3.58,3.42,2.18,3.4,3.3,2.15,3.4,3.3,2.15,3.6,3.4,2.15,3.4,3.4,2.05,41.0,3.7,3.39,3.49,3.34,2.15,2.08,39.0,2.11,1.97,1.87,1.81,20.0,0.25,2.12,2.05,1.86,1.82,3.46,3.45,2.24
E2,01/02/13,Sheffield United,Coventry,1.0,,A,0.0,1.0,A,13.0,13.0,7.0,11.0,11.0,15.0,3.0,7.0,4.0,2.0,0.0,0.0,2.25,3.5,3.4,2.1,3.3,3.1,2.1,3.3,3.1,2.0,3.2,3.1,2.2,3.3,3.25,2.28,3.53,3.23,2.15,3.4,3.25,2.2,3.4,3.25,2.3,3.5,3.3,2.1,3.4,3.4,41.0,2.38,2.23,3.48,3.31,3.75,3.11,36.0,1.9,1.84,2.04,1.95,20.0,-0.25,2.04,2.01,1.9,1.87,2.38,3.43,3.19
E2,01/04/13,Walsall,Coventry,4.0,,H,1.0,0.0,H,13.0,11.0,10.0,5.0,10.0,15.0,4.0,5.0,1.0,4.0,0.0,1.0,2.25,3.5,3.4,2.2,3.2,2.9,2.2,3.2,2.9,2.2,3.1,2.8,2.3,3.4,3.0,2.25,3.48,3.36,2.25,3.4,3.1,2.25,3.3,3.2,2.25,3.5,3.4,2.3,3.4,3.0,38.0,2.38,2.24,3.5,3.3,3.4,3.09,36.0,1.95,1.86,2.0,1.94,20.0,-0.25,2.02,1.91,2.01,1.96,2.25,3.56,3.36
E2,23/04/13,Crewe,Sheffield United,1.0,,H,0.0,0.0,D,8.0,12.0,4.0,7.0,8.0,5.0,5.0,6.0,0.0,1.0,0.0,0.0,3.6,3.4,2.2,3.0,3.2,2.2,3.0,3.2,2.2,2.8,3.1,2.2,3.0,3.5,2.25,3.4,3.46,2.24,3.5,3.3,2.1,3.25,3.2,2.1,3.5,3.5,2.2,3.0,3.4,2.2,40.0,3.6,3.19,3.5,3.29,2.3,2.19,27.0,2.1,2.04,1.85,1.72,21.0,0.25,2.0,1.94,1.95,1.92,3.18,3.47,2.36
