Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA
E3,30/11/02,Bury,Exeter,1,0,H,0,0,D,M Clattenburg,,2.0,5.0,2.0,7.0,15.0,14.0,1.0,1.0,3.0,0.0,0.0,1.615,3.6,4.5,1.6,3.6,5.0,1.65,3.2,3.9,1.73,3.4,4.0,1.57,3.5,5.0,1.6,3.5,5.0,1.66,3.4,4.33
E3,07/09/02,Kidderminster,Boston,0,0,D,0,0,D,P Danson,,10.0,9.0,3.0,13.0,23.0,3.0,5.0,2.0,2.0,0.0,0.0,1.833,3.25,3.75,,,,1.9,3.1,3.0,2.1,3.25,3.0,1.83,3.4,3.75,1.833,3.25,3.8,2.0,3.2,3.2
E3,02/11/02,Darlington,Lincoln,0,0,D,0,0,D,M Jones,,2.0,4.0,1.0,15.0,12.0,7.0,6.0,2.0,0.0,0.0,0.0,2.2,3.25,2.8,2.2,3.25,2.95,2.2,3.0,2.6,2.25,3.2,2.75,2.1,3.25,3.0,2.1,3.25,3.0,2.2,3.2,2.8
E3,21/04/03,Torquay,Leyton Orient,2,2,D,1,1,D,M Fletcher,,9.0,7.0,6.0,13.0,15.0,6.0,5.0,0.0,3.0,0.0,0.0,1.615,3.6,4.333,1.6,3.45,5.0,1.5,3.4,4.7,1.5,3.6,5.5,1.53,3.6,5.5,1.533,3.6,5.5,1.53,3.6,5.0
E3,03/05/03,Rushden & D,Hartlepool,1,1,D,1,0,H,L Cable,,12.0,6.0,10.0,14.0,13.0,5.0,4.0,2.0,1.0,0.0,0.0,2.0,3.25,3.25,2.05,3.3,3.2,,,,1.909,3.4,3.25,2.0,3.25,3.25,2.0,3.25,3.25,2.1,3.2,3.0
E3,01/03/03,Bury,Bournemouth,2,1,H,1,1,D,C Wilkes,,9.0,7.0,6.0,12.0,16.0,10.0,2.0,1.0,1.0,0.0,0.0,2.2,3.25,2.8,2.2,3.3,2.9,2.2,3.0,2.6,2.38,3.2,2.6,2.25,3.25,2.75,2.25,3.25,2.75,2.25,3.2,2.75
E3,15/04/03,Carlisle,York,1,1,D,0,0,D,P Rejer,,4.0,2.0,2.0,13.0,16.0,4.0,1.0,0.0,1.0,0.0,0.0,2.5,3.4,2.37,2.6,3.3,2.4,2.35,3.0,2.35,2.75,3.2,2.25,2.5,3.4,2.38,2.5,3.3,2.4,2.5,3.25,2.4
E3,25/03/03,Shrewsbury,Torquay,2,3,A,0,1,A,C Boyeson,,13.0,4.0,10.0,13.0,11.0,6.0,3.0,2.0,5.0,0.0,0.0,2.4,3.2,2.6,2.5,3.15,2.5,2.35,3.0,2.35,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.1,2.5
E3,22/02/03,York,Bury,1,1,D,0,0,D,H Webb,,10.0,1.0,5.0,13.0,13.0,2.0,3.0,3.0,1.0,0.0,0.0,2.1,3.25,3.0,2.1,3.25,3.15,2.1,3.0,2.8,2.2,3.25,2.75,2.1,3.25,3.0,2.1,3.25,3.0,2.1,3.2,3.0
E3,26/10/02,Bournemouth,York,1,0,H,0,0,D,G Hegley,,7.0,8.0,3.0,7.0,9.0,6.0,4.0,0.0,1.0,0.0,0.0,1.615,3.4,5.0,1.7,3.4,4.5,1.7,3.2,3.7,1.62,3.5,4.5,1.62,3.4,5.0,1.667,3.4,4.5,1.72,3.25,4.2
E3,12/04/03,Torquay,Macclesfield,2,2,D,1,2,A,P Rejer,,8.0,12.0,5.0,7.0,12.0,4.0,2.0,0.0,3.0,0.0,0.0,1.667,3.5,4.333,1.65,3.35,4.75,1.65,3.1,4.0,1.571,3.5,5.0,1.62,3.4,5.0,1.615,3.5,4.75,1.66,3.4,4.33
E3,26/08/02,Southend,Cambridge,2,1,H,2,1,H,A D'Urso,,12.0,,6.0,12.0,17.0,5.0,10.0,0.0,2.0,0.0,0.0,,,,2.26,3.2,2.92,2.2,3.0,2.6,2.25,3.2,2.75,,,,2.25,3.25,2.75,,,
E3,17/09/02,Rochdale,Cambridge,4,3,H,1,2,A,G Laws,,11.0,10.0,6.0,18.0,6.0,8.0,6.0,3.0,1.0,0.0,1.0,1.833,3.25,3.75,1.88,3.3,3.9,1.8,3.0,3.5,1.8,3.25,3.75,1.83,3.3,3.6,1.833,3.3,3.75,1.83,3.25,3.75
E3,05/04/03,Bristol Rvs,Rushden & D,1,2,A,1,1,D,C Penton,,10.0,5.0,5.0,18.0,13.0,4.0,3.0,2.0,3.0,0.0,0.0,2.75,3.25,2.25,2.75,3.3,2.22,2.4,3.0,2.3,2.75,3.2,2.25,2.75,3.4,2.2,2.75,3.4,2.2,2.62,3.2,2.3
E3,08/03/03,Leyton Orient,Exeter,1,1,D,1,0,H,C Penton,,10.0,4.0,8.0,16.0,19.0,3.0,3.0,1.0,4.0,0.0,0.0,1.727,3.5,4.0,1.7,3.35,4.45,1.75,3.1,3.6,1.73,3.4,4.0,1.73,3.25,4.33,1.727,3.25,4.333,1.8,3.3,3.75
E3,14/09/02,York,Rushden & D,0,0,D,0,0,D,S Baines,,14.0,5.0,6.0,7.0,10.0,5.0,9.0,0.0,0.0,0.0,0.0,2.4,3.2,2.6,2.37,3.15,2.65,2.3,3.0,2.4,2.4,3.25,2.5,2.38,3.2,2.63,2.375,3.2,2.625,2.37,3.1,2.62
E3,26/08/02,Rushden & D,Scunthorpe,2,0,H,1,0,H,P Crossley,9.0,14.0,7.0,7.0,14.0,13.0,1.0,6.0,2.0,1.0,1.0,0.0,,,,1.65,3.4,4.85,1.65,3.2,3.9,1.615,3.25,5.0,,,,1.615,3.4,5.0,,,
E3,22/02/03,Hartlepool,Swansea,4,0,H,2,0,H,N Barry,24.0,8.0,15.0,4.0,11.0,9.0,1.0,1.0,2.0,2.0,0.0,1.0,1.444,3.75,6.5,1.45,3.7,7.0,1.45,3.5,5.0,1.44,3.6,6.5,1.44,3.75,6.5,1.4,3.75,7.5,1.44,3.6,6.5
E3,18/01/03,Wrexham,Torquay,2,1,H,1,1,D,L Cable,17.0,9.0,5.0,3.0,10.0,15.0,2.0,4.0,1.0,1.0,0.0,0.0,2.2,3.25,2.8,2.18,3.3,2.9,2.1,3.0,2.8,2.1,3.2,3.0,2.2,3.25,2.8,2.2,3.25,2.8,2.1,3.2,3.0
E3,29/03/03,Darlington,Bury,3,1,H,1,1,D,A Butler,12.0,8.0,7.0,3.0,15.0,13.0,9.0,3.0,1.0,1.0,0.0,0.0,2.4,3.2,2.6,2.5,3.2,2.5,2.4,2.9,2.4,2.5,3.2,2.5,2.38,3.2,2.62,2.38,3.2,2.62,2.5,3.1,2.5
