Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
E3,28/11/15,Barnet,Mansfield,1.0,3.0,A,0.0,1.0,A,T Kettle,8.0,9.0,5.0,5.0,9.0,13.0,6.0,4.0,1.0,1.0,1.0,1.0,2.6,3.4,2.9,2.45,3.2,2.65,2.3,3.2,2.8,2.4,3.3,2.8,2.59,3.47,2.85,2.5,3.2,2.9,2.63,3.4,2.8,49.0,2.63,2.5,3.47,3.24,2.9,2.75,43.0,,2.14,1.75,1.67,26.0,0.0,1.9,1.83,2.05,1.98,2.56,3.57,2.82
E3,12/09/15,Newport County,Morecambe,1.0,2.0,A,0.0,1.0,A,R Lewis,7.0,6.0,3.0,3.0,12.0,7.0,9.0,3.0,2.0,1.0,0.0,0.0,2.6,3.4,2.9,2.5,3.2,2.6,2.5,3.0,2.5,2.62,3.2,2.75,2.66,3.51,2.75,2.6,3.1,2.88,2.63,3.5,2.8,37.0,2.66,2.51,3.51,3.26,2.9,2.74,33.0,,2.01,1.87,1.77,25.0,0.0,1.89,1.83,2.12,1.97,2.52,3.62,2.84
E3,10/10/15,Luton,York,1.0,1.0,D,0.0,1.0,A,D Handley,10.0,7.0,4.0,1.0,13.0,10.0,5.0,6.0,0.0,1.0,0.0,0.0,2.05,3.8,3.6,1.9,3.4,3.6,1.9,3.2,3.4,1.95,3.6,3.5,2.02,3.85,3.69,2.0,3.4,3.8,2.0,3.75,3.7,43.0,2.05,1.95,3.85,3.5,4.0,3.63,39.0,,1.89,1.96,1.87,26.0,-0.5,2.02,1.96,1.91,1.86,1.87,3.87,4.31
E3,05/09/15,Wycombe,Hartlepool,2.0,1.0,H,1.0,1.0,D,D Deadman,11.0,11.0,4.0,6.0,12.0,13.0,9.0,3.0,1.0,3.0,0.0,1.0,1.83,3.6,5.0,1.72,3.4,4.4,1.7,3.4,3.9,1.85,3.5,4.5,1.83,3.65,4.74,1.83,3.3,4.8,1.85,3.75,4.6,43.0,1.85,1.78,3.75,3.48,5.0,4.45,40.0,,2.05,1.81,1.73,26.0,-0.5,1.87,1.79,2.09,2.03,1.7,3.86,5.62
E3,12/03/16,Accrington,Plymouth,2.0,1.0,H,0.0,1.0,A,M Heywood,18.0,7.0,9.0,2.0,7.0,10.0,3.0,4.0,1.0,2.0,0.0,1.0,2.25,3.5,3.4,2.2,3.2,3.0,2.1,3.3,3.1,2.15,3.3,3.4,2.21,3.6,3.39,2.2,3.3,3.3,2.2,3.5,3.3,44.0,2.25,2.16,3.6,3.31,3.4,3.26,35.0,,2.07,1.78,1.7,26.0,-0.25,1.92,1.87,2.02,1.96,2.29,3.69,3.15
E3,12/09/15,Northampton,Oxford,1.0,0.0,H,1.0,0.0,H,N Swarbrick,4.0,6.0,3.0,3.0,13.0,13.0,6.0,6.0,1.0,3.0,1.0,0.0,2.88,3.4,2.63,2.45,3.25,2.6,2.5,3.1,2.4,2.8,3.1,2.7,2.85,3.37,2.63,2.8,3.0,2.7,2.8,3.4,2.7,34.0,2.88,2.7,3.4,3.22,2.7,2.57,25.0,,2.14,1.71,1.66,24.0,0.0,2.01,1.95,1.92,1.87,2.94,3.33,2.6
E3,02/01/16,Wycombe,Morecambe,0.0,2.0,A,0.0,0.0,D,A Davies,1.0,4.0,0.0,3.0,14.0,11.0,4.0,4.0,1.0,2.0,1.0,0.0,1.83,4.0,4.33,1.78,3.5,4.0,1.8,3.4,4.0,1.8,3.6,4.33,1.82,3.97,4.48,1.8,3.6,4.33,1.83,3.9,4.2,48.0,1.84,1.79,4.0,3.67,4.48,4.19,35.0,,1.81,2.01,1.95,28.0,-0.5,1.85,1.81,2.11,2.02,1.85,3.97,4.28
E3,06/02/16,Wycombe,Luton,0.0,1.0,A,0.0,1.0,A,S Stockbridge,6.0,7.0,1.0,4.0,18.0,11.0,3.0,6.0,2.0,4.0,0.0,0.0,2.15,3.5,3.6,2.0,3.2,3.5,2.0,3.3,3.3,2.15,3.3,3.4,2.19,3.51,3.53,2.1,3.4,3.4,2.15,3.3,3.6,45.0,2.19,2.1,3.51,3.3,3.6,3.44,37.0,,2.13,1.73,1.67,23.0,-0.25,1.89,1.83,2.06,2.01,2.2,3.56,3.45
E3,16/04/16,Accrington,Morecambe,2.0,2.0,D,1.0,1.0,D,S Duncan,19.0,7.0,6.0,4.0,9.0,14.0,10.0,4.0,2.0,1.0,0.0,0.0,1.57,4.33,6.5,1.55,3.7,5.5,1.45,3.9,6.5,1.55,4.0,6.0,1.55,4.55,6.17,1.53,4.0,6.5,1.55,4.4,6.0,46.0,1.62,1.54,4.55,4.03,6.5,5.84,31.0,,1.79,2.07,1.94,26.0,-1.0,1.99,1.94,1.95,1.9,1.58,4.45,5.88
E3,30/04/16,Wycombe,Accrington,0.0,1.0,A,0.0,0.0,D,M Bull,8.0,10.0,0.0,5.0,16.0,10.0,1.0,4.0,1.0,1.0,0.0,0.0,4.33,3.6,1.95,3.6,3.5,1.87,3.8,3.25,1.85,3.8,3.4,1.95,4.2,3.61,1.96,3.75,3.3,2.0,4.1,3.6,1.93,46.0,4.33,3.87,3.61,3.39,2.0,1.92,36.0,,2.1,1.73,1.69,26.0,0.5,1.97,1.91,1.96,1.92,4.63,3.79,1.83
