Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,WHH,WHD,WHA
D2,20/05/01,Mannheim,Mainz,4,0,H,1,0,H,27000.0,Helmut Fleischer ,12.0,10.0,7.0,2.0,,1.0,6.0,0.0,14.0,14.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,20.0,1.3,4.5,7.25,,,,1.35,4.0,6.75
D2,24/09/00,Osnabruck,Hannover,0,1,A,0,0,D,10573.0,Helmut Fleischer ,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,10.0,2.45,2.9,2.45,2.4,2.9,2.4,2.5,2.9,2.55
D2,21/10/00,Greuther Furth,Nurnberg,0,0,D,0,0,D,35100.0,Michael Weiner ,,,,,,,,,,,,,3.0,2.0,0.0,0.0,30.0,20.0,3.4,3.15,1.9,3.5,3.0,1.8,4.1,3.1,1.75
D2,10/09/00,St Pauli,Stuttgarter K,4,0,H,2,0,H,16255.0,Thomas Frank ,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.66,3.2,4.4,1.7,3.1,3.8,1.6,3.3,4.7
D2,05/09/00,Reutlingen,St Pauli,2,0,H,0,0,D,8500.0,Manfred Haupt ,,,,,,,,,,,,,2.0,1.0,0.0,0.0,20.0,10.0,2.4,3.1,2.55,2.0,2.9,3.0,2.3,2.85,2.85
D2,07/04/01,Mannheim,Greuther Furth,2,1,H,1,1,D,8400.0,Herbert Fandel ,11.0,9.0,7.0,4.0,,0.0,7.0,5.0,23.0,17.0,7.0,0.0,3.0,2.0,0.0,1.0,30.0,45.0,1.95,3.1,3.4,,,,1.8,3.2,3.7
D2,15/09/00,Duisburg,St Pauli,4,1,H,3,1,H,7709.0,Peter Lange ,,,,,,,,,,,,,1.0,2.0,0.0,1.0,10.0,45.0,2.0,3.0,3.5,1.9,2.9,3.2,1.85,3.2,3.5
D2,11/02/01,Reutlingen,Nurnberg,3,2,H,0,1,A,12300.0,Matthias Anklam ,14.0,14.0,5.0,4.0,,1.0,6.0,4.0,8.0,6.0,6.0,1.0,2.0,3.0,0.0,0.0,20.0,30.0,2.55,2.95,2.45,2.3,2.9,2.5,2.65,2.9,2.4
D2,18/08/00,Chemnitz,Hannover,0,2,A,0,0,D,7020.0,Jrg Kessler ,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.05,3.05,3.0,2.1,2.9,2.9,2.25,2.8,3.0
D2,24/09/00,Oberhausen,Chemnitz,4,1,H,2,0,H,2701.0,Markus Schmidt ,,,,,,,,,,,,,1.0,1.0,0.0,1.0,10.0,35.0,1.7,3.45,3.9,1.65,3.1,4.0,1.7,3.2,4.2
