Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
D2,05/05/02,Karlsruhe,Unterhaching,3,0,H,1,0,H,14000,"Merk, M",15.0,3.0,5.0,1.0,0.0,0.0,6.0,1.0,10.0,23.0,3.0,,0,2,0,0,0,20,1.95,3.15,3.4,2.0,3.0,3.3,2.0,3.0,3.4,2.0,3.1,3.3,2.0,2.9,3.4
D2,16/09/01,Schweinfurt,Greuther Furth,0,0,D,0,0,D,8319,Jrgen Jansen,10.0,14.0,5.0,5.0,0.0,2.0,7.0,6.0,12.0,8.0,3.0,,2,2,0,0,20,20,,,,2.4,2.9,2.4,,,,2.3,3.1,2.75,2.3,3.15,2.6
D2,12/10/01,Unterhaching,Schweinfurt,1,0,H,0,0,D,5800,Matthias Anklam,14.0,7.0,3.0,3.0,1.0,0.0,11.0,3.0,17.0,19.0,0.0,,4,4,0,0,40,40,,,,1.6,3.4,4.6,,,,1.62,3.5,4.5,1.55,3.5,4.8
D2,19/08/01,Hannover,Bochum,2,0,H,0,0,D,20076,Gnter Perl,16.0,4.0,7.0,0.0,0.0,0.0,8.0,2.0,5.0,11.0,2.0,,0,2,0,0,0,20,,,,2.3,2.9,2.5,,,,2.4,3.1,2.6,2.25,3.1,2.7
D2,12/08/01,Ein Frankfurt,Schweinfurt,2,0,H,0,0,D,18500,Andre Stachowiak ,14.0,8.0,6.0,5.0,0.0,1.0,2.0,5.0,18.0,18.0,0.0,,1,1,0,0,10,10,,,,,,,,,,,,,,,
D2,23/03/02,Ein Frankfurt,Unterhaching,3,2,H,2,0,H,5000,"Meyer, F",16.0,17.0,9.0,7.0,0.0,2.0,5.0,8.0,13.0,13.0,4.0,,1,0,0,1,10,25,1.6,3.4,4.75,1.75,3.2,4.0,1.615,3.4,4.333,1.615,3.25,5.0,1.65,3.3,4.4
D2,07/09/01,Mainz,Hannover,2,2,D,1,2,A,4000,Detlef Scheppe,15.0,10.0,6.0,4.0,2.0,0.0,6.0,2.0,20.0,14.0,3.0,,3,3,0,0,30,30,,,,2.1,2.9,2.9,,,,2.1,3.1,3.1,2.15,3.15,2.8
D2,05/02/02,Duisburg,Mannheim,3,1,H,1,0,H,5000,"Spaker, R.",8.0,3.0,4.0,2.0,2.0,0.0,2.0,5.0,11.0,8.0,0.0,,0,1,0,0,0,10,2.0,3.25,3.15,2.1,3.0,3.1,2.0,3.2,3.2,,,,1.95,3.25,3.15
D2,03/08/01,Ahlen,Greuther Furth,1,0,H,1,0,H,7513,Kai Voss ,8.0,10.0,5.0,4.0,1.0,1.0,6.0,7.0,29.0,26.0,3.0,,2,3,0,0,20,30,,,,1.9,2.9,3.2,,,,2.0,3.2,3.3,2.1,3.1,2.95
D2,16/09/01,Mannheim,Union Berlin,1,1,D,0,0,D,7500,Hermann Albrecht,10.0,11.0,3.0,4.0,0.0,0.0,3.0,5.0,14.0,13.0,4.0,5.0,1,3,0,0,10,30,,,,1.8,3.0,3.5,,,,,,,1.85,3.3,3.4
D2,16/03/02,Unterhaching,Saarbrucken,8,0,H,4,0,H,2000,"Frank, T",17.0,3.0,14.0,1.0,0.0,0.0,5.0,2.0,10.0,16.0,1.0,2.0,0,1,0,0,0,10,1.57,3.5,5.0,1.55,3.5,4.8,1.6,3.4,5.0,1.5,3.6,5.5,,,
D2,04/11/01,Greuther Furth,Union Berlin,0,0,D,0,0,D,5500,Dirk Margenberg,12.0,6.0,4.0,2.0,0.0,0.0,9.0,0.0,16.0,21.0,0.0,0.0,1,0,0,0,10,0,1.9,3.15,3.5,1.8,3.1,3.8,,,,1.91,3.2,3.5,1.9,3.25,3.3
D2,07/12/01,Bielefeld,Oberhausen,3,1,H,1,1,D,8584,Wolfgang Stark,24.0,11.0,13.0,7.0,3.0,0.0,9.0,1.0,13.0,14.0,4.0,0.0,1,3,0,0,10,30,1.42,3.7,6.5,1.6,3.4,4.6,1.44,3.6,6.5,1.44,3.75,6.0,1.45,3.6,6.0
D2,09/02/02,Ein Frankfurt,Karlsruhe,3,1,H,2,0,H,13800,"Koop, T",9.0,8.0,5.0,2.0,0.0,0.0,2.0,3.0,19.0,21.0,5.0,1.0,4,6,0,1,40,85,1.7,3.2,4.5,1.7,3.2,4.2,1.7,3.25,4.333,1.667,3.4,4.333,1.75,3.25,3.85
D2,09/03/02,Babelsberg,Hannover,1,3,A,0,1,A,5924,"Spker, R",8.0,20.0,5.0,12.0,0.0,0.0,4.0,5.0,21.0,14.0,1.0,4.0,3,1,0,0,30,10,5.5,3.6,1.5,4.6,3.4,1.6,5.0,3.5,1.571,4.5,3.5,1.615,4.4,3.5,1.6
D2,30/07/01,Union Berlin,Hannover,1,1,D,0,0,D,9072,Jrgen Jansen ,14.0,11.0,2.0,3.0,1.0,0.0,5.0,4.0,19.0,22.0,3.0,0.0,3,3,0,1,30,55,1.9,3.2,3.4,2.0,2.9,3.0,,,,,,,2.1,3.0,3.05
D2,14/04/02,Oberhausen,Saarbrucken,2,1,H,1,0,H,4276,"Spaker, R.",15.0,9.0,7.0,3.0,0.0,0.0,5.0,5.0,17.0,20.0,2.0,2.0,0,2,0,0,0,20,1.25,4.4,9.0,1.25,4.5,9.0,1.333,4.2,7.0,1.286,4.5,8.0,1.25,4.8,7.7
D2,17/03/02,Union Berlin,Bielefeld,2,1,H,1,0,H,13000,"Sippel, P",11.0,13.0,5.0,5.0,0.0,1.0,7.0,4.0,17.0,14.0,3.0,2.0,1,2,0,0,10,20,2.0,3.1,3.3,2.0,3.0,3.3,2.1,3.1,3.1,2.1,3.1,3.1,,,
D2,24/11/01,Bielefeld,Mainz,0,1,A,0,0,D,15000,Stefan Weber,11.0,10.0,5.0,4.0,0.0,1.0,7.0,4.0,13.0,18.0,3.0,1.0,1,4,1,1,35,65,2.2,3.0,2.95,2.0,3.0,3.3,,,,,,,2.1,3.1,2.95
D2,04/03/02,Hannover,Ahlen,3,1,H,0,1,A,21000,"Berg, A",23.0,6.0,12.0,4.0,0.0,0.0,11.0,7.0,19.0,13.0,3.0,6.0,1,0,0,0,10,0,1.42,3.8,6.85,1.4,3.9,6.0,1.444,3.6,6.5,1.444,3.6,6.5,1.4,3.8,6.3
D2,17/02/02,Duisburg,Saarbrucken,5,0,H,2,0,H,8382,"Grfe, M",14.0,5.0,9.0,0.0,0.0,0.0,4.0,5.0,7.0,15.0,3.0,6.0,2,3,0,0,20,30,1.57,3.45,5.0,1.6,3.4,4.6,1.571,3.4,5.2,1.533,3.4,5.5,1.55,3.45,5.0
D2,10/08/01,Bielefeld,Mannheim,5,0,H,3,0,H,12097,Thomas Frank ,26.0,12.0,18.0,5.0,1.0,0.0,8.0,6.0,17.0,22.0,1.0,1.0,2,1,0,0,20,10,,,,2.1,2.9,2.9,,,,,,,2.35,3.0,2.65
