Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
G1,26/01/14,Xanthi,Olympiakos,0.0,-1.0,A,0.0,1.0,A,10.0,4.75,1.33,9.5,4.6,1.34,8.0,4.2,1.33,10.0,4.6,1.3,9.85,5.12,1.36,7.5,4.2,1.33,8.5,5.0,1.33,9.5,4.8,1.33,33.0,10.0,8.23,5.2,4.79,1.37,1.33,30.0,1.85,1.78,2.1,2.0,11.0,1.25,2.11,2.05,1.88,1.8,8.51,4.86,1.43
G1,17/02/14,Ergotelis,OFI,0.0,-1.0,A,0.0,1.0,A,2.5,3.0,3.0,2.45,2.95,3.1,2.4,2.9,2.9,2.37,2.87,3.1,2.53,3.07,3.24,2.3,3.0,3.1,2.5,3.0,2.88,2.45,3.0,3.12,34.0,2.55,2.43,3.1,2.98,3.24,2.99,20.0,2.75,2.57,1.52,1.46,11.0,-0.25,2.13,2.07,1.82,1.76,3.39,2.88,2.62
G1,03/11/13,Apollon,Veria,0.0,,D,0.0,0.0,D,2.5,3.0,3.0,2.55,3.0,2.9,2.5,3.0,2.7,2.55,2.9,2.75,2.52,3.22,3.1,2.6,3.1,2.8,2.5,3.0,3.0,2.55,3.1,2.9,31.0,2.6,2.46,3.22,3.03,3.1,2.89,21.0,2.45,2.31,1.63,1.57,15.0,0.0,1.81,1.75,2.18,2.11,2.34,3.17,3.53
G1,21/12/13,OFI,Panetolikos,2.0,,H,1.0,1.0,D,1.7,3.4,5.5,,,,1.65,3.3,4.9,1.66,3.1,5.75,1.73,3.46,6.15,1.65,3.0,5.5,1.67,3.3,5.8,1.65,3.4,6.0,26.0,1.83,1.68,3.4,3.22,6.1,5.62,18.0,2.64,2.52,1.51,1.48,10.0,-0.5,1.85,1.71,2.3,2.16,1.9,3.22,5.3
G1,07/12/13,Olympiakos,Asteras Tripolis,2.0,,H,0.0,0.0,D,1.14,7.5,19.0,1.18,7.0,13.0,1.17,5.4,13.0,1.16,6.5,15.0,,,,1.11,7.0,13.0,1.18,7.5,12.0,1.18,7.0,15.0,32.0,1.19,1.16,8.0,6.98,23.0,13.36,20.0,1.55,1.46,2.75,2.56,12.0,-2.0,2.06,1.96,1.9,1.83,1.23,7.4,13.3
G1,01/12/13,Olympiakos,Ergotelis,3.0,,H,2.0,0.0,H,1.17,6.5,17.0,1.13,7.25,20.0,1.15,5.7,14.0,1.14,7.0,21.0,,,,1.17,6.5,17.0,1.14,7.5,17.0,1.14,8.5,15.0,31.0,1.17,1.14,8.8,7.35,28.0,16.64,17.0,1.6,1.51,2.62,2.46,13.0,-2.25,1.99,1.91,2.0,1.94,1.14,9.1,26.0
G1,13/04/14,Panthrakikos,Atromitos,1.0,,A,0.0,1.0,A,3.25,3.3,2.0,4.1,3.25,1.9,,,,,,,,,,3.3,3.3,1.95,3.6,3.4,2.0,3.7,3.4,1.95,23.0,4.1,3.56,3.5,3.32,2.05,1.97,,,,,,,,,,,,,,
G1,26/01/14,PAOK,Veria,4.0,,H,3.0,0.0,H,1.29,5.0,12.0,1.22,5.75,13.0,1.25,4.6,10.5,1.25,5.2,11.0,1.29,5.59,13.35,1.25,4.6,10.0,1.25,5.25,11.0,1.25,5.5,13.0,34.0,1.3,1.26,6.3,5.32,14.0,10.56,31.0,1.85,1.75,2.15,2.03,16.0,-1.5,1.91,1.86,2.16,1.99,1.29,5.93,12.0
G1,04/01/14,Ergotelis,Atromitos,0.0,,A,0.0,1.0,A,3.4,3.1,2.25,3.1,3.0,2.4,2.8,3.0,2.4,3.2,2.9,2.25,3.65,3.2,2.25,3.0,3.0,2.2,3.2,3.13,2.3,3.5,3.12,2.3,37.0,3.62,3.17,3.25,3.09,2.4,2.24,25.0,2.39,2.25,1.66,1.58,14.0,0.25,1.99,1.9,2.0,1.92,3.8,3.19,2.22
G1,11/01/14,OFI,Veria,0.0,1.0,A,0.0,0.0,D,1.7,3.5,5.25,1.67,3.4,5.5,1.7,3.2,4.7,1.66,3.25,5.5,1.69,3.73,5.87,1.65,3.5,4.33,1.73,3.5,5.25,1.65,3.5,5.25,34.0,1.75,1.68,3.73,3.39,5.87,5.13,24.0,2.35,2.25,1.66,1.6,14.0,-0.75,2.0,1.93,1.98,1.93,1.6,3.77,7.34
G1,06/04/14,Platanias,Panetolikos,1.0,0.0,H,0.0,0.0,D,,,,1.22,5.5,14.0,1.2,5.0,9.0,1.25,4.8,13.0,,,,1.22,5.0,12.0,1.25,5.5,12.0,1.25,5.0,13.0,27.0,1.25,1.23,6.0,5.22,15.0,11.98,16.0,2.1,1.97,2.0,1.76,4.0,-1.5,1.85,1.85,2.0,1.93,,,
G1,02/11/13,PAOK,Ergotelis,2.0,1.0,H,0.0,1.0,A,1.33,4.75,10.0,1.34,4.5,10.0,1.33,4.2,8.0,1.33,4.2,10.0,1.31,5.1,14.11,1.33,4.6,11.0,1.33,4.8,10.0,1.3,4.75,12.0,31.0,1.35,1.31,5.1,4.57,14.11,10.23,21.0,2.25,2.06,1.76,1.71,14.0,-1.25,1.79,1.77,2.18,2.11,1.29,5.45,14.3
G1,01/09/13,Asteras Tripolis,Apollon,2.0,0.0,H,0.0,0.0,D,1.62,3.5,6.25,1.55,3.7,6.5,1.55,3.4,5.8,1.55,3.4,5.8,1.546,3.89,7.94,1.6,3.5,6.5,1.57,3.5,6.5,1.57,3.7,6.5,28.0,1.62,1.57,3.75,3.46,7.31,6.25,17.0,2.45,2.31,1.62,1.58,14.0,-0.75,1.83,1.78,2.14,2.09,1.58,3.94,7.11
G1,10/02/14,Aris,Panionios,1.0,0.0,H,0.0,0.0,D,1.8,3.4,4.5,1.75,3.3,5.0,1.75,3.1,4.5,1.75,3.1,4.8,1.77,3.42,5.82,1.83,3.25,4.2,1.73,3.4,5.0,1.75,3.4,5.2,30.0,1.85,1.76,3.5,3.31,5.82,4.79,24.0,2.54,2.4,1.65,1.53,13.0,-0.5,1.86,1.74,2.18,2.11,1.95,3.39,4.58
G1,29/09/13,OFI,PAOK,1.0,1.0,D,1.0,0.0,H,4.6,3.3,1.83,4.75,3.4,1.78,4.5,3.1,1.75,4.6,3.1,1.75,5.0,3.39,1.87,4.75,3.1,1.91,4.33,3.5,1.8,4.8,3.3,1.83,30.0,5.0,4.43,3.6,3.3,1.91,1.81,18.0,2.61,2.41,1.6,1.53,14.0,0.5,2.05,2.01,1.9,1.85,5.05,3.42,1.87
G1,12/01/14,PAOK,Panetolikos,1.0,0.0,H,0.0,0.0,D,1.22,6.0,12.0,1.26,5.0,13.0,1.25,4.6,10.5,1.25,5.0,13.0,1.28,5.55,14.3,1.25,4.6,10.0,1.29,4.8,13.0,1.25,5.0,12.0,36.0,1.3,1.26,6.2,4.99,14.3,11.43,34.0,1.96,1.88,1.99,1.89,16.0,-1.5,1.96,1.88,2.02,1.96,1.33,5.28,11.8
