Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
I2,12/10/14,Virtus Lanciano,Vicenza,4.0,0.0,H,1.0,0.0,H,1.95,3.2,4.2,2.0,3.0,4.0,1.9,3.1,3.8,1.95,3.0,4.1,2.02,3.16,4.55,1.91,3.1,4.0,,,,2.0,3.12,4.33,44.0,2.05,1.96,3.25,3.08,4.6,4.08,34.0,2.44,,1.68,1.58,22.0,-0.5,2.04,1.98,1.94,1.86,1.92,3.35,4.86
I2,06/12/14,Spezia,Cittadella,0.0,0.0,D,0.0,0.0,D,1.67,3.5,5.5,1.75,3.3,4.85,1.75,3.1,4.5,1.72,3.3,4.8,1.71,3.51,6.26,1.7,3.3,5.0,,,,1.62,3.2,5.2,47.0,1.75,1.69,3.6,3.37,6.26,5.22,43.0,2.2,,1.78,1.68,25.0,-0.75,1.99,1.92,1.98,1.91,1.7,3.6,6.35
I2,28/04/15,Crotone,Avellino,2.0,0.0,H,1.0,0.0,H,2.75,3.0,2.7,2.8,2.75,2.8,2.5,2.8,2.9,2.75,2.8,2.7,2.94,2.94,2.86,2.5,3.0,2.8,,,,2.9,2.9,2.75,45.0,2.96,2.75,3.0,2.88,2.9,2.72,36.0,2.56,,1.65,1.55,24.0,0.0,2.04,1.94,1.94,1.86,2.89,2.98,2.91
I2,18/04/15,Carpi,Brescia,3.0,0.0,H,2.0,0.0,H,1.91,3.4,4.0,1.75,3.4,4.6,2.0,2.9,3.7,1.85,3.1,4.5,1.94,3.4,4.53,1.91,3.3,3.8,,,,1.9,3.4,4.6,50.0,2.0,1.87,3.5,3.29,4.7,4.19,46.0,2.15,,1.82,1.73,30.0,-0.5,1.95,1.88,1.99,1.93,1.95,3.43,4.61
I2,28/04/15,Ternana,Frosinone,0.0,1.0,A,0.0,1.0,A,3.0,3.0,2.5,2.95,2.9,2.5,2.9,2.8,2.5,2.88,3.0,2.4,3.12,3.04,2.63,2.88,3.0,2.45,,,,3.0,3.0,2.6,45.0,3.12,2.93,3.2,2.97,2.63,2.5,39.0,2.25,,1.74,1.68,23.0,0.0,2.13,2.05,1.83,1.77,2.74,3.05,3.02
I2,28/03/15,Vicenza,Carpi,1.0,2.0,A,0.0,2.0,A,2.45,3.0,3.1,2.5,2.9,3.0,2.4,2.8,3.0,2.4,2.8,3.1,2.56,2.95,3.32,2.5,2.88,2.9,,,,2.5,2.9,3.25,48.0,2.63,2.44,3.05,2.9,3.32,3.05,38.0,2.67,,1.56,1.5,23.0,0.0,1.77,1.69,2.25,2.13,2.82,3.0,2.97
I2,06/12/14,Varese,Virtus Entella,2.0,2.0,D,1.0,2.0,A,2.0,3.2,4.0,2.0,3.0,4.0,2.0,2.9,3.7,2.0,3.0,3.9,2.03,3.21,4.39,2.0,3.2,3.6,,,,2.05,3.2,4.2,47.0,2.05,1.99,3.4,3.13,4.39,3.92,43.0,2.28,,1.78,1.68,26.0,-0.5,2.05,1.99,1.9,1.84,2.21,3.12,3.96
I2,03/10/14,Livorno,Crotone,1.0,0.0,H,0.0,0.0,D,1.85,3.4,4.33,1.95,3.15,4.0,1.85,3.1,4.0,1.9,3.1,4.2,1.95,3.36,4.65,1.85,3.2,4.2,,,,1.95,3.3,4.5,44.0,1.95,1.88,3.4,3.2,5.1,4.29,32.0,2.42,,1.65,1.59,22.0,-0.5,1.95,1.89,2.0,1.94,1.98,3.22,4.77
I2,18/10/14,Frosinone,Modena,2.0,0.0,H,0.0,0.0,D,2.1,2.9,4.1,2.2,2.95,3.5,2.1,2.9,3.4,2.1,3.0,3.7,2.17,3.1,4.06,2.1,2.88,3.75,,,,2.2,3.0,4.0,45.0,2.3,2.15,3.15,2.97,4.1,3.65,34.0,2.62,,1.6,1.52,22.0,-0.25,1.89,1.85,2.08,1.99,2.24,2.95,4.17
I2,18/10/14,Carpi,Latina,2.0,1.0,H,2.0,1.0,H,2.6,3.0,2.9,2.45,2.95,3.0,2.5,2.9,2.8,2.6,2.85,2.85,2.73,2.91,3.12,2.6,2.88,2.88,,,,2.62,3.0,3.0,45.0,2.73,2.55,3.0,2.93,3.2,2.92,34.0,2.5,,1.62,1.57,21.0,0.0,1.83,1.79,2.09,2.04,2.56,2.95,3.37
