Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
I2,03/11/2018,Ascoli,Ascoli,1,2,A,1.0,1.0,D,8.0,5.0,,2.0,18.0,22.0,11.0,1.0,1.0,4.0,0.0,0.0,1.6,3.4,7.0,1.62,3.5,6.5,1.6,3.55,5.7,1.66,3.43,6.66,1.67,3.5,5.5,1.65,3.6,6.25,38,1.67,1.62,3.85,3.48,7.0,6.01,36,2.12,2.04,1.81,1.75,19,-1.0,2.21,2.14,1.8,1.7,1.68,3.38,6.87
I2,27/12/2018,Salernitana,Salernitana,0,0,D,0.0,0.0,D,11.0,8.0,,3.0,19.0,18.0,1.0,0.0,2.0,2.0,0.0,0.0,2.3,2.87,3.5,2.4,2.9,3.2,2.35,2.9,3.2,2.5,2.85,3.5,2.4,2.88,3.3,2.45,2.9,3.4,34,2.5,2.38,2.99,2.88,3.5,3.26,31,2.5,2.35,1.62,1.57,19,0.0,1.7,1.63,2.38,2.28,2.09,2.99,4.53
I2,01/05/2019,Perugia,Cittadella,0,0,D,0.0,0.0,D,11.0,9.0,,1.0,19.0,21.0,10.0,4.0,2.0,2.0,1.0,0.0,2.2,3.1,3.2,2.25,3.1,3.4,2.2,3.15,3.25,,,,,,,2.3,3.13,3.4,26,2.3,2.23,3.36,3.16,3.4,3.24,23,2.1,2.0,1.85,1.77,11,0.0,1.67,1.61,2.41,2.29,2.09,3.44,3.79
I2,09/12/2018,Livorno,Foggia,3,1,H,1.0,1.0,D,19.0,15.0,,6.0,20.0,10.0,3.0,5.0,3.0,2.0,0.0,0.0,3.1,3.1,2.37,3.0,3.1,2.45,2.85,3.1,2.45,3.01,3.16,2.58,2.88,3.2,2.45,3.0,3.13,2.55,37,3.1,2.88,3.3,3.1,2.6,2.46,34,2.1,2.01,1.85,1.77,19,0.0,2.14,2.06,1.85,1.77,2.81,3.3,2.69
I2,11/05/2019,Carpi,Venezia,2,3,A,1.0,0.0,H,6.0,15.0,,5.0,10.0,14.0,4.0,14.0,3.0,7.0,1.0,0.0,6.5,4.0,1.5,5.75,3.7,1.57,6.0,3.8,1.55,6.21,3.94,1.58,6.5,3.75,1.53,7.0,3.8,1.55,32,7.0,6.09,4.05,3.8,1.61,1.56,30,2.17,2.07,1.8,1.72,17,1.0,1.9,1.8,2.1,2.01,5.56,3.93,1.66
I2,22/04/2019,Verona,Benevento,0,3,A,0.0,1.0,A,18.0,11.0,,4.0,17.0,22.0,10.0,2.0,2.0,2.0,0.0,0.0,2.4,3.1,3.1,2.4,3.0,3.0,2.4,3.15,2.9,2.52,3.15,3.15,2.45,3.0,3.0,2.45,3.13,3.1,32,2.52,2.41,3.35,3.09,3.15,2.97,31,2.06,1.97,1.9,1.8,17,-0.25,2.15,2.07,1.82,1.76,2.45,3.21,3.21
I2,08/02/2019,Salernitana,Benevento,0,1,A,0.0,0.0,D,10.0,13.0,,5.0,8.0,16.0,9.0,6.0,2.0,2.0,0.0,0.0,3.6,3.0,2.2,3.5,3.1,2.2,3.5,3.05,2.15,3.78,3.05,2.28,3.6,3.0,2.2,3.7,3.1,2.2,35,3.78,3.53,3.25,3.03,2.3,2.2,33,2.4,2.26,1.67,1.61,19,0.25,2.01,1.94,1.92,1.87,3.59,2.9,2.45
I2,25/11/2018,Spezia,Foggia,0,0,D,0.0,0.0,D,19.0,9.0,,2.0,18.0,10.0,10.0,5.0,2.0,5.0,0.0,1.0,2.0,3.5,3.6,2.1,3.2,3.75,1.97,3.3,3.75,2.05,3.38,3.92,2.0,3.25,3.8,2.05,3.25,3.9,38,2.1,2.01,3.5,3.26,3.95,3.7,36,2.11,2.01,1.85,1.77,19,-0.25,1.8,1.74,2.16,2.09,1.9,3.7,4.22
I2,02/03/2019,Padova,Crotone,0,0,D,0.0,0.0,D,13.0,15.0,,2.0,22.0,17.0,3.0,7.0,2.0,3.0,0.0,1.0,2.7,3.0,2.8,2.8,2.95,2.75,2.7,2.95,2.7,2.78,3.01,2.95,2.7,2.9,2.8,2.8,3.0,2.8,34,2.8,2.71,3.15,2.95,2.95,2.79,31,2.45,2.35,1.65,1.57,19,0.0,1.94,1.87,2.01,1.94,2.77,2.86,3.13
I2,10/03/2019,Cremonese,Benevento,1,0,H,0.0,0.0,D,7.0,10.0,,0.0,18.0,13.0,1.0,3.0,5.0,1.0,1.0,0.0,3.25,2.87,2.45,3.0,2.95,2.55,2.95,2.95,2.45,3.19,2.99,2.61,3.1,2.88,2.5,3.0,3.0,2.55,33,3.25,3.01,3.1,2.94,2.61,2.51,30,2.43,2.32,1.65,1.58,18,0.0,2.16,2.09,1.81,1.75,2.98,2.85,2.91
