Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
P1,,Belenenses,Est Amadora,3,0,H,3,0,H,1.55,3.4,5.5,1.5,3.55,6.15,1.5,3.5,6.0,1.6,3.4,4.6,1.53,3.25,6.0,1.53,3.6,6.0,1.5,3.75,5.25,1.5,3.4,6.5,1.53,3.6,5.5,29.0,1.6,1.51,3.65,3.51,7.5,6.06,25.0,2.38,2.2,1.65,1.58,13.0,-0.75,1.84,1.8,2.08,2.06
P1,,Porto,Benfica,3,2,H,2,0,H,1.9,3.3,4.0,1.85,3.2,3.85,1.9,3.2,3.6,1.9,3.1,3.5,1.83,3.2,3.75,1.9,3.25,3.75,1.9,3.0,3.75,1.83,3.0,4.0,1.85,3.2,3.75,36.0,1.95,1.87,3.35,3.2,4.33,3.79,27.0,2.3,2.14,1.7,1.58,15.0,-0.5,2.0,1.95,1.96,1.92
P1,,Boavista,Benfica,3,0,H,1,0,H,2.8,3.1,2.3,3.05,3.15,2.15,2.9,3.1,2.25,2.7,3.0,2.3,2.8,3.2,2.2,2.88,3.15,2.3,3.0,3.1,2.15,3.25,3.0,2.1,,,,30.0,3.25,2.92,3.25,3.08,2.36,2.25,17.0,2.35,2.12,1.7,1.61,9.0,0.0,2.35,2.06,1.7,1.63
P1,,Belenenses,Academica,1,2,A,0,0,D,1.9,3.2,3.6,1.9,3.25,3.6,1.85,3.25,3.8,1.85,3.1,3.6,1.9,3.2,3.5,1.8,3.25,4.2,1.8,3.25,3.8,1.8,3.25,4.0,1.85,3.2,3.75,31.0,2.0,1.86,3.35,3.22,4.25,3.85,26.0,2.35,2.19,1.65,1.58,16.0,-0.5,2.02,1.98,1.93,1.88
P1,,Academica,Nacional,1,3,A,1,1,D,2.37,3.2,2.62,2.3,3.1,2.8,2.3,3.15,2.75,2.3,3.0,2.7,2.2,3.2,2.8,2.4,3.1,2.75,2.2,3.2,2.8,2.4,3.2,2.6,2.25,3.0,2.9,33.0,2.4,2.31,3.3,3.12,3.01,2.81,20.0,2.4,2.21,1.65,1.55,11.0,-0.25,2.1,2.04,1.9,1.83
P1,,Pacos Ferreira,Naval,1,1,D,1,0,H,2.05,3.2,3.1,2.0,3.25,3.3,2.1,3.1,3.2,2.1,3.0,3.1,2.1,3.2,3.0,2.1,3.2,3.2,2.2,3.2,2.8,2.0,3.25,3.4,2.0,3.1,3.4,33.0,2.2,2.07,3.35,3.17,3.75,3.13,25.0,2.5,2.24,1.6,1.57,11.0,-0.25,1.88,1.86,2.05,2.02
P1,,Setubal,Beira Mar,1,3,A,1,0,H,2.0,3.1,3.5,2.1,3.1,3.2,2.05,3.1,3.25,2.0,3.1,3.2,1.9,3.2,3.5,2.1,3.2,3.2,2.05,3.2,3.1,2.0,3.1,3.4,2.0,3.2,3.25,30.0,2.1,2.05,3.2,3.13,3.5,3.29,25.0,2.5,2.27,1.6,1.54,13.0,-0.25,1.87,1.84,2.09,2.03
P1,22/10/06,Maritimo,Beira Mar,2,1,H,0,0,D,1.66,3.3,4.5,1.65,3.4,4.75,1.7,3.3,4.5,1.7,3.2,4.2,1.7,3.25,4.33,1.67,3.4,4.8,1.65,3.3,4.6,1.67,3.4,5.0,1.65,3.25,4.5,30.0,1.75,1.7,3.4,3.3,4.85,4.49,19.0,2.25,2.12,1.7,1.62,8.0,0.0,1.26,1.25,3.45,3.33
P1,10/12/06,Aves,Leiria,0,1,A,0,0,D,2.6,3.1,2.5,2.55,3.1,2.5,2.6,3.1,2.5,2.5,3.0,2.5,2.5,3.1,2.5,2.7,3.2,2.4,2.45,3.1,2.55,2.75,3.2,2.38,2.6,3.1,2.4,32.0,2.8,2.62,3.25,3.1,2.7,2.48,23.0,2.4,2.15,1.65,1.6,12.0,0.0,1.98,1.9,1.9,1.83
P1,13/05/07,Pacos Ferreira,Porto,1,1,D,1,0,H,4.75,3.5,1.61,5.35,3.55,1.55,5.0,3.5,1.6,4.8,3.5,1.55,5.0,3.5,1.57,5.0,3.5,1.62,5.0,3.5,1.57,5.0,3.4,1.62,5.0,3.6,1.53,34.0,5.9,5.1,3.6,3.48,1.65,1.59,22.0,2.23,2.04,1.73,1.69,15.0,0.75,2.16,2.13,1.8,1.76
