Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
P1,30/11/15,Sp Braga,Benfica,0.0,2.0,A,0.0,2.0,A,3.0,3.25,2.38,3.0,3.2,2.3,2.8,3.2,2.3,,3.2,2.4,3.11,3.33,2.48,3.1,3.1,2.25,3.0,3.3,2.5,48.0,3.25,2.99,3.33,3.16,2.5,2.37,40.0,2.25,2.14,1.72,1.66,27.0,0.25,1.84,1.78,2.14,2.06,2.67,3.31,2.88
P1,17/01/16,Rio Ave,Belenenses,1.0,2.0,A,1.0,2.0,A,1.8,3.5,4.5,1.75,3.3,4.75,1.75,3.4,4.3,,3.3,4.75,1.91,3.44,4.76,1.8,3.3,4.33,1.85,3.5,4.5,43.0,1.91,1.82,3.5,3.35,5.0,4.48,40.0,2.27,2.15,1.72,1.67,26.0,-0.5,1.91,1.85,2.05,1.99,1.92,3.19,4.88
P1,03/04/16,Estoril,Pacos Ferreira,1.0,0.0,H,1.0,0.0,H,2.2,3.2,3.4,2.1,3.2,3.4,2.3,3.1,2.9,,3.2,3.5,2.16,3.38,3.75,2.15,3.1,3.3,2.15,3.3,3.5,45.0,2.3,2.14,3.38,3.23,3.75,3.39,31.0,2.25,2.18,1.71,1.63,26.0,-0.25,1.91,1.85,2.06,1.98,2.08,3.41,3.98
P1,18/09/15,Setubal,Guimaraes,2.0,2.0,D,1.0,1.0,D,2.45,3.1,3.0,2.45,3.0,2.95,2.5,3.1,2.7,,3.0,2.8,2.62,3.17,3.05,2.5,3.0,2.8,2.5,3.13,3.0,40.0,2.63,2.48,3.17,3.05,3.07,2.88,31.0,2.5,2.38,1.6,1.54,25.0,0.0,1.82,1.76,2.16,2.07,2.59,3.08,3.2
P1,19/02/16,Uniao Madeira,Estoril,1.0,1.0,D,1.0,0.0,H,2.6,3.0,2.9,2.75,3.0,2.8,2.6,3.0,2.6,,2.9,2.9,2.82,2.98,2.98,2.6,2.88,2.8,2.7,3.1,2.8,48.0,2.82,2.67,3.12,2.95,2.98,2.81,34.0,2.6,2.49,1.53,1.5,29.0,0.0,1.91,1.86,2.04,1.97,2.83,3.02,2.94
P1,13/09/15,Nacional,Academica,2.0,0.0,H,1.0,0.0,H,1.65,3.6,5.5,1.7,3.6,4.75,1.75,3.4,4.3,,3.3,6.0,1.7,3.57,6.2,1.67,3.25,5.5,1.7,3.5,6.0,37.0,1.75,1.67,3.6,3.36,6.2,5.53,26.0,2.57,2.45,1.54,1.51,23.0,-0.75,1.97,1.92,1.97,1.91,1.75,3.58,5.71
P1,02/01/16,Setubal,Sp Braga,1.0,1.0,D,1.0,0.0,H,4.0,3.4,1.91,4.1,3.3,1.87,3.7,3.3,1.9,,3.4,1.85,4.45,3.57,1.92,4.2,3.2,1.85,4.6,3.5,1.87,50.0,4.6,4.13,3.65,3.42,1.95,1.87,43.0,2.24,2.13,1.75,1.69,28.0,0.5,2.03,1.95,1.94,1.88,5.11,3.71,1.79
P1,12/09/15,Estoril,Sp Braga,1.0,0.0,H,0.0,0.0,D,3.0,3.2,2.4,2.9,2.8,2.65,2.7,3.1,2.5,,3.0,2.6,2.88,3.25,2.7,2.9,2.9,2.5,3.0,3.2,2.55,37.0,3.01,2.84,3.25,3.07,2.7,2.51,26.0,2.5,2.36,1.61,1.54,25.0,0.0,2.12,2.01,1.88,1.82,3.31,3.15,2.46
P1,27/02/16,Arouca,Sp Braga,0.0,0.0,D,0.0,0.0,D,4.0,3.1,2.05,3.9,3.1,2.0,3.3,3.1,2.1,,3.3,2.05,4.0,3.51,2.04,3.4,3.1,2.1,3.9,3.25,2.05,47.0,4.0,3.71,3.51,3.27,2.1,2.02,38.0,2.23,2.11,1.75,1.68,26.0,0.5,1.86,1.81,2.08,2.03,4.19,3.46,2.01
P1,21/09/15,Belenenses,Moreirense,2.0,0.0,H,2.0,0.0,H,2.1,3.25,3.5,2.05,3.0,3.9,2.1,3.1,3.3,2.1,3.0,3.8,2.14,3.17,4.11,2.15,3.0,3.4,2.1,3.1,4.0,32.0,2.15,2.09,3.25,3.07,4.11,3.66,28.0,2.74,2.59,1.5,1.46,22.0,-0.5,2.18,2.1,1.82,1.75,2.14,3.06,4.33
