Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
SC0,23/12/00,Dundee United,Dundee United,3,-1,H,2,1,H,12128,Kevin Toner,15.0,8.0,,3.0,1.0,0.0,8.0,3.0,11.0,14.0,7,2,1,2,0,1,10,45,1.4,3.9,6.5,1.4,3.6,5.5,1.57,3.5,5.0,1.44,3.6,6.5,1.5,3.6,5.5
SC0,10/12/00,Dundee,Celtic,1,2,A,0,1,A,10763,John Underhill,12.0,6.0,,3.0,0.0,0.0,7.0,9.0,5.0,13.0,4,5,0,2,0,0,0,20,5.5,3.5,1.53,4.7,3.4,1.5,5.5,3.6,1.5,7.0,3.6,1.44,5.5,3.6,1.5
SC0,31/03/01,Dundee,Kilmarnock,2,2,D,1,1,D,6719,Tom Brown,10.0,7.0,,4.0,0.0,0.0,4.0,1.0,12.0,12.0,9,7,1,2,0,1,10,45,2.38,3.05,2.75,2.4,2.9,2.4,2.1,3.5,2.75,2.25,3.25,2.75,2.2,3.25,2.75
SC0,03/03/01,St Johnstone,Dundee,2,3,A,1,0,H,5064,Eric Martindale,10.0,11.0,,4.0,0.0,0.0,3.0,3.0,15.0,11.0,3,8,3,2,1,0,55,20,2.15,3.05,3.0,2.1,2.9,2.9,,,,2.1,3.25,3.0,2.1,3.4,2.8
SC0,19/08/00,Aberdeen,Hibernian,0,2,A,0,1,A,13157,Michael McCurry,8.0,18.0,,11.0,0.0,1.0,6.0,6.0,14.0,24.0,0,2,0,3,1,0,25,30,2.3,3.2,2.55,2.4,2.9,2.4,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.1,2.5
SC0,18/03/01,Dundee,Hearts,0,0,D,0,0,D,7327,Bobby Orr,7.0,7.0,,2.0,0.0,0.0,7.0,2.0,12.0,16.0,8,6,0,0,0,0,0,0,2.45,3.1,2.6,2.4,2.9,2.4,2.5,3.25,2.4,2.6,3.2,2.4,2.5,3.1,2.5
SC0,28/10/00,St Mirren,Aberdeen,2,0,H,1,0,H,5763,Stuart Dougal,8.0,11.0,,5.0,0.0,1.0,3.0,6.0,6.0,7.0,3,1,1,0,0,0,10,0,2.45,3.15,2.55,2.3,2.9,2.5,2.6,3.4,2.25,2.5,3.2,2.5,2.4,3.25,2.5
SC0,05/12/00,St Mirren,Dundee United,1,1,D,0,1,A,4685,Alan Freeland,9.0,10.0,7.0,5.0,0.0,0.0,2.0,6.0,10.0,11.0,2,2,1,1,1,0,35,10,,,,1.9,3.0,3.1,2.0,3.4,3.0,,,,2.0,3.4,3.0
SC0,13/08/00,St Mirren,Rangers,1,3,A,0,1,A,8851,Michael McCurry,9.0,20.0,4.0,10.0,0.0,1.0,1.0,5.0,11.0,16.0,2,3,3,2,0,0,30,20,7.5,4.8,1.25,5.5,3.6,1.4,10.0,4.5,1.25,10.0,4.5,1.25,9.0,5.0,1.22
SC0,30/09/00,St Mirren,Dunfermline,2,1,H,2,0,H,5002,John Fleming,12.0,10.0,5.0,4.0,0.0,0.0,4.0,3.0,7.0,9.0,1,0,1,1,0,1,10,35,2.35,3.15,2.4,2.4,2.9,2.4,2.35,3.2,2.6,2.38,3.2,2.63,2.37,3.1,2.62
SC0,25/11/00,Aberdeen,Motherwell,3,3,D,1,2,A,12324,Hugh Dallas,21.0,9.0,12.0,6.0,0.0,0.0,10.0,2.0,12.0,19.0,4,8,1,2,0,0,10,20,2.25,3.1,2.8,2.3,2.9,2.5,2.25,3.5,2.5,2.25,3.25,2.75,2.25,3.2,2.75
SC0,30/12/00,St Johnstone,Hearts,2,2,D,2,1,H,5173,John Fleming,11.0,6.0,6.0,3.0,0.0,0.0,6.0,3.0,12.0,17.0,5,2,1,3,0,0,10,30,2.25,3.1,2.7,2.3,2.9,2.5,2.25,3.5,2.5,2.38,3.4,2.5,2.37,3.1,2.62
SC0,13/05/01,Celtic,Dundee,0,2,A,0,2,A,59211,Tom Brown,15.0,5.0,5.0,3.0,0.0,0.0,15.0,2.0,13.0,13.0,5,1,1,3,0,1,10,55,1.2,5.3,9.75,1.2,4.7,9.0,1.25,5.0,8.0,1.25,5.0,8.0,1.2,5.5,9.0
SC0,16/08/00,Kilmarnock,Hibernian,0,1,A,0,1,A,8672,Alan Freeland,11.0,6.0,4.0,5.0,0.0,0.0,5.0,1.0,13.0,10.0,1,2,1,2,0,0,10,20,2.2,3.2,2.9,2.2,2.9,2.7,2.25,3.4,2.6,2.25,3.25,2.75,2.37,3.1,2.62
SC0,07/04/01,Motherwell,St Johnstone,1,0,H,1,0,H,4600,Douglas McDonald,15.0,16.0,6.0,4.0,0.0,0.0,4.0,4.0,18.0,14.0,4,1,0,0,0,0,0,0,2.15,3.0,3.15,2.1,2.9,2.9,,,,2.1,3.25,3.0,2.2,3.25,2.75
SC0,09/12/00,Hibernian,Dunfermline,3,0,H,1,0,H,10078,Kenny Clark,20.0,4.0,6.0,0.0,0.0,1.0,4.0,2.0,16.0,12.0,5,1,0,1,0,1,0,35,1.45,3.7,6.3,1.35,3.8,6.2,1.4,3.75,7.0,1.36,4.0,7.5,1.36,3.75,8.0
SC0,18/11/00,Celtic,Hearts,6,1,H,4,1,H,59813,Stuart Dougal,23.0,7.0,13.0,4.0,0.0,0.0,8.0,5.0,7.0,24.0,1,2,1,4,0,0,10,40,1.25,4.5,9.5,1.3,4.0,7.0,1.25,5.0,8.0,1.25,5.0,9.0,1.22,5.0,9.0
SC0,17/09/00,Rangers,Hearts,1,0,H,0,0,D,47340,Hugh Dallas,17.0,3.0,9.0,2.0,0.0,0.0,13.0,2.0,7.0,7.0,2,1,2,1,0,0,20,10,1.2,5.2,10.0,1.25,4.3,8.0,1.3,4.5,8.0,1.25,5.0,8.5,1.2,5.0,11.0
SC0,03/02/01,Dundee United,St Johnstone,1,1,D,1,0,H,6482,Douglas McDonald,12.0,10.0,8.0,7.0,0.0,0.0,2.0,7.0,12.0,15.0,3,6,2,3,0,0,20,30,2.65,3.05,2.35,2.4,2.9,2.4,2.4,3.25,2.5,2.4,3.3,2.5,2.37,3.2,2.62
SC0,04/03/01,Dunfermline,Celtic,0,3,A,0,2,A,9096,Hugh Dallas,4.0,13.0,2.0,4.0,0.0,0.0,1.0,13.0,18.0,6.0,2,1,2,0,0,0,20,0,5.75,3.5,1.5,4.7,3.4,1.5,,,,7.5,4.0,1.36,8.0,3.75,1.36
SC0,04/11/00,Motherwell,Dundee United,2,1,H,1,0,H,6864,Alan Freeland,12.0,10.0,3.0,3.0,0.0,0.0,3.0,6.0,16.0,13.0,6,2,2,2,0,1,20,45,1.55,3.4,5.5,1.45,3.5,5.0,1.5,3.6,5.5,1.57,3.5,5.0,1.57,3.5,5.0
SC0,20/05/01,Dunfermline,St Johnstone,0,0,D,0,0,D,4607,Hugh Dallas,9.0,5.0,3.0,0.0,2.0,0.0,2.0,5.0,10.0,17.0,2,2,3,1,0,0,30,10,2.15,3.0,3.05,2.1,2.9,2.9,2.2,3.25,2.75,2.2,3.2,2.8,2.2,3.25,2.75
SC0,12/08/00,Dundee United,Motherwell,1,1,D,0,1,A,6201,Willie Young,13.0,8.0,3.0,5.0,0.0,0.0,4.0,4.0,8.0,13.0,1,5,0,0,0,0,0,0,2.4,2.9,2.65,2.0,2.9,3.0,,,,2.4,3.25,2.6,2.2,3.25,2.75
SC0,16/09/00,Kilmarnock,Aberdeen,1,0,H,1,0,H,6876,Kevin Toner,8.0,5.0,5.0,2.0,0.0,0.0,5.0,10.0,6.0,9.0,5,4,2,3,0,0,20,30,1.85,3.15,3.5,1.85,3.0,3.3,1.7,3.5,3.75,1.8,3.4,3.75,1.83,3.4,3.5
SC0,16/09/00,Hibernian,Motherwell,2,0,H,0,0,D,9852,Michael McCurry,17.0,7.0,9.0,2.0,1.0,1.0,1.0,0.0,11.0,24.0,3,5,3,3,0,0,30,30,1.65,3.3,4.6,1.6,3.2,4.2,1.6,3.5,4.5,1.62,3.5,4.75,1.61,3.5,4.5
SC0,19/08/00,Kilmarnock,Motherwell,3,2,H,1,1,D,6652,George Clyde,10.0,6.0,6.0,3.0,0.0,0.0,6.0,3.0,8.0,8.0,2,9,1,1,0,0,10,10,2.15,3.2,2.8,1.9,2.9,3.2,2.1,3.2,3.0,2.1,3.25,3.0,1.9,3.4,3.25
SC0,01/10/00,Rangers,Dundee United,3,0,H,2,0,H,44324,John Rowbotham,23.0,9.0,14.0,5.0,0.0,1.0,14.0,4.0,7.0,11.0,7,0,0,3,0,1,0,55,1.15,6.2,11.0,1.1,7.0,14.0,1.15,5.5,15.0,1.14,6.0,13.0,1.14,6.0,12.0
SC0,21/10/00,Kilmarnock,St Mirren,2,1,H,0,1,A,7861,Michael McCurry,16.0,4.0,9.0,1.0,1.0,1.0,7.0,2.0,9.0,17.0,0,3,3,4,0,0,30,40,1.47,3.6,5.3,1.55,3.3,4.5,1.5,3.4,6.0,1.53,3.4,6.0,1.53,3.4,5.5
SC0,21/10/00,Dundee,Motherwell,1,2,A,1,2,A,7344,John Fleming,9.0,14.0,4.0,7.0,0.0,0.0,6.0,6.0,15.0,26.0,5,1,2,3,0,0,20,30,1.77,3.25,3.8,1.8,3.0,3.5,1.65,3.6,4.0,1.67,3.5,4.33,1.66,3.4,4.33
SC0,04/11/00,Hearts,Aberdeen,3,0,H,1,0,H,12744,Tom Brown,24.0,6.0,12.0,3.0,1.0,1.0,11.0,8.0,11.0,9.0,4,3,0,0,0,0,0,0,1.8,3.3,3.8,1.6,3.3,4.0,1.8,3.25,3.75,1.85,3.25,3.75,1.8,3.3,3.75
SC0,25/11/00,St Mirren,Hibernian,1,1,D,0,1,A,5255,Michael McCurry,8.0,9.0,3.0,4.0,0.0,0.0,11.0,1.0,8.0,8.0,4,1,2,2,0,0,20,20,3.8,3.3,1.8,3.6,3.1,1.75,3.5,3.5,1.8,3.75,3.3,1.83,4.0,3.3,1.72
SC0,30/07/00,Hearts,Hibernian,0,0,D,0,0,D,17132,Kenny Clark,10.0,14.0,5.0,8.0,1.0,0.0,6.0,9.0,18.0,16.0,1,3,1,4,0,0,10,40,1.85,3.3,3.7,2.0,2.9,3.0,,,,1.95,3.25,3.4,1.8,3.25,3.8
SC0,31/01/01,Hearts,St Mirren,1,0,H,0,0,D,10164,Stuart Dougal,17.0,9.0,8.0,3.0,1.0,0.0,11.0,2.0,10.0,11.0,4,1,1,1,0,0,10,10,1.4,4.0,6.5,1.35,3.8,6.2,1.36,4.0,7.0,1.4,3.8,7.0,1.44,3.75,6.0
SC0,20/05/01,Hearts,Dundee,2,0,H,0,0,D,13554,John Rowbotham,11.0,8.0,7.0,3.0,0.0,0.0,7.0,5.0,14.0,7.0,8,1,0,1,0,0,0,10,1.68,3.45,4.1,,,,1.57,3.75,4.5,1.57,3.75,4.5,1.57,3.75,4.5
SC0,29/11/00,Motherwell,St Mirren,2,0,H,0,0,D,5312,Gary Mitchell,13.0,8.0,5.0,3.0,0.0,0.0,9.0,5.0,14.0,7.0,2,1,1,0,0,0,10,0,1.6,3.5,4.8,1.6,3.2,4.2,1.61,3.5,4.5,1.57,3.4,5.5,1.53,3.4,5.5
SC0,14/10/00,Hibernian,Rangers,1,0,H,1,0,H,14523,Kenny Clark,12.0,11.0,3.0,5.0,1.0,0.0,3.0,4.0,27.0,18.0,0,2,2,4,0,1,20,65,5.0,3.45,1.6,3.5,3.0,1.8,4.0,3.4,1.7,5.0,3.4,1.62,4.5,3.3,1.66
SC0,28/04/01,Dundee United,Motherwell,1,0,H,1,0,H,5928,John Underhill,10.0,2.0,5.0,0.0,0.0,0.0,6.0,3.0,11.0,18.0,3,4,1,3,0,1,10,55,1.8,3.3,3.55,2.0,2.9,3.0,1.91,3.5,3.2,1.91,3.5,3.2,1.9,3.5,3.2
SC0,25/11/00,Kilmarnock,St Johnstone,0,2,A,0,0,D,6330,John Rowbotham,11.0,5.0,6.0,2.0,0.0,0.0,6.0,1.0,6.0,11.0,3,0,2,2,0,0,20,20,1.65,3.4,4.5,1.6,3.2,4.2,1.44,4.0,5.5,1.62,3.4,5.0,1.66,3.6,4.0
SC0,02/01/01,Hibernian,Dundee,3,0,H,2,0,H,12379,Michael McCurry,9.0,10.0,4.0,4.0,1.0,0.0,3.0,3.0,19.0,11.0,3,1,0,3,0,0,0,30,1.55,3.7,4.3,1.35,3.8,6.2,1.5,3.6,5.5,1.53,3.5,5.5,1.53,3.6,5.0
SC0,21/04/01,Aberdeen,Dunfermline,1,0,H,1,0,H,8613,John Rowbotham,15.0,6.0,8.0,5.0,1.0,0.0,6.0,6.0,13.0,13.0,4,4,1,3,0,0,10,30,2.0,3.15,3.3,1.9,2.9,3.2,2.0,3.2,3.2,2.1,3.2,3.0,2.1,3.3,2.87
