Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
SC0,26/12/02,Dundee,Aberdeen,1,2,A,0,0,D,I Brines,5.0,5.0,3.0,2.0,18.0,20.0,4.0,4.0,4,4,2,0,1.8,3.25,4.0,1.85,3.35,3.75,2.0,3.1,3.2,1.83,3.4,,1.91,3.25,3.5,1.909,3.25,3.5,1.9,3.25,3.4,1.65,1.95
SC0,14/12/02,Hearts,Partick,1,0,H,0,0,D,G Mitchell,19.0,8.0,13.0,4.0,13.0,10.0,10.0,2.0,4,4,0,0,1.667,3.5,4.333,1.75,3.3,4.2,1.75,3.2,4.0,1.73,3.4,,1.73,3.25,4.33,1.727,3.4,4.2,1.72,3.4,4.0,1.65,1.95
SC0,19/03/03,Rangers,Motherwell,2,0,H,1,0,H,H Dallas,16.0,6.0,6.0,2.0,14.0,16.0,8.0,1.0,2,3,0,0,1.1,7.0,15.0,1.1,7.25,17.0,1.1,7.0,15.0,1.11,6.0,,1.11,7.0,13.0,1.11,7.0,13.0,1.1,6.5,17.0,,
SC0,02/03/03,Celtic,Hibernian,3,2,H,2,1,H,W Young,13.0,6.0,9.0,4.0,12.0,18.0,6.0,5.0,0,1,0,0,1.125,7.0,12.0,1.15,6.66,11.0,1.15,6.0,12.0,1.14,5.5,,1.13,6.5,13.0,1.125,6.5,13.0,1.14,6.0,12.0,1.65,1.95
SC0,24/08/02,Partick,Celtic,0,1,A,0,0,D,M McCurry,4.0,12.0,0.0,5.0,16.0,13.0,3.0,4.0,0,0,0,0,9.0,5.0,1.25,10.0,4.5,1.27,8.0,4.2,1.3,11.0,5.0,,10.0,5.5,1.2,10.0,5.5,1.222,10.0,4.5,1.25,1.5,2.25
SC0,15/03/03,Partick,Hibernian,0,1,A,0,1,A,G Mitchell,10.0,3.0,3.0,3.0,9.0,17.0,9.0,3.0,1,1,0,0,2.37,3.2,2.62,2.4,3.3,2.6,2.3,3.0,2.7,2.25,3.2,,2.38,3.2,2.62,2.38,3.2,2.62,2.37,3.3,2.5,1.8,1.8
SC0,02/11/02,Partick,Motherwell,2,0,H,1,0,H,T Brown,20.0,18.0,9.0,13.0,16.0,15.0,5.0,9.0,1,4,0,1,2.2,3.25,2.8,2.25,3.2,2.9,2.2,3.0,2.9,2.2,3.25,,2.2,3.25,2.8,2.25,3.2,2.8,2.2,3.2,2.8,,
SC0,07/12/02,Kilmarnock,Dundee,2,0,H,0,0,D,C Richmond,9.0,6.0,6.0,0.0,19.0,15.0,6.0,2.0,4,0,0,0,2.25,3.25,2.75,2.2,3.25,2.9,2.1,3.0,3.1,2.25,3.2,2.75,2.2,3.25,2.8,2.2,3.25,2.8,2.1,3.2,3.0,1.7,1.9
SC0,18/08/02,Hibernian,Rangers,2,4,A,1,2,A,H Dallas,5.0,10.0,3.0,5.0,24.0,9.0,4.0,6.0,4,2,1,0,7.5,4.0,1.364,8.0,3.95,1.36,4.8,3.8,1.5,7.0,4.333,1.333,8.5,3.5,1.4,8.0,3.75,1.4,8.0,3.75,1.36,1.5,2.15
SC0,05/10/02,Dundee,Kilmarnock,2,1,H,0,0,D,C Thomson,18.0,6.0,12.0,2.0,14.0,11.0,12.0,4.0,2,0,0,0,2.25,3.25,2.75,2.25,3.2,2.9,2.2,3.0,2.9,2.1,3.2,3.0,2.25,3.25,2.75,2.2,3.25,2.9,2.2,3.25,2.75,1.75,1.85
SC0,24/11/02,Livingston,Celtic,0,2,A,0,1,A,S Dougal,14.0,7.0,0.0,1.0,16.0,27.0,6.0,4.0,1,3,0,0,9.0,5.0,1.25,9.0,5.0,1.28,9.0,4.5,1.25,8.0,5.0,1.25,10.0,5.0,1.22,10.0,5.0,1.222,8.0,5.0,1.25,1.45,2.35
SC0,02/01/03,Aberdeen,Celtic,1,1,D,0,1,A,M McCurry,7.0,8.0,3.0,4.0,13.0,15.0,10.0,7.0,1,0,0,0,10.0,5.0,1.222,11.0,5.15,1.23,8.0,4.2,1.3,8.0,5.0,1.25,8.5,5.0,1.25,9.0,5.0,1.25,8.0,5.0,1.25,1.5,2.25
SC0,17/05/03,Partick,Dundee United,0,1,A,0,0,D,D McDonald,10.0,9.0,2.0,6.0,13.0,9.0,8.0,3.0,0,0,0,0,2.6,3.5,2.25,2.4,3.3,2.6,,,,2.63,3.5,2.2,2.5,3.4,2.38,2.5,3.4,2.38,2.4,3.25,2.5,1.8,1.8
SC0,24/08/02,Dundee,Hibernian,2,1,H,0,1,A,W Young,11.0,11.0,5.0,4.0,9.0,23.0,6.0,4.0,1,4,0,0,1.833,3.25,3.75,1.97,3.2,3.5,2.1,3.0,3.1,1.8,3.5,3.5,2.25,3.25,2.75,1.95,3.25,3.5,2.0,3.2,3.2,1.75,1.85
SC0,13/04/03,Dundee United,Rangers,1,4,A,0,3,A,D McDonald,8.0,7.0,7.0,5.0,19.0,12.0,8.0,7.0,1,3,0,0,10.0,5.0,1.222,11.0,5.5,1.2,10.0,5.0,1.2,12.0,5.5,1.167,12.0,5.0,1.2,12.0,5.0,1.2,9.0,5.5,1.2,1.6,2.05
SC0,07/12/02,Partick,Dunfermline,4,0,H,2,0,H,W Young,18.0,17.0,12.0,9.0,10.0,5.0,1.0,9.0,0,1,0,0,2.7,3.2,2.3,2.5,3.25,2.5,,,,2.38,3.2,2.6,2.6,3.2,2.4,2.6,3.2,2.4,2.5,3.1,2.5,1.65,1.95
