Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
SC1,27/10/01,Ayr,Partick,0.0,2.0,A,0.0,0.0,D,3447.0,D. G. McDonald,11.0,11.0,4.0,5.0,1.0,0.0,5.0,2.0,11.0,13.0,0.0,4.0,2.0,0.0,1.0,,45.0,0.0,2.3,3.1,2.7,2.2,3.1,2.5,,,,2.3,3.4,2.5,2.38,3.25,2.5,2.3,3.4,2.5
SC1,02/03/02,Inverness C,St Mirren,4.0,2.0,H,1.0,1.0,D,1866.0,"Brown, T.",18.0,6.0,11.0,4.0,0.0,0.0,5.0,2.0,5.0,11.0,2.0,1.0,0.0,1.0,0.0,,0.0,10.0,1.9,3.4,3.25,1.85,3.2,3.1,1.91,3.5,3.2,1.909,3.5,3.1,1.909,3.5,3.2,1.83,3.4,3.5
SC1,30/03/02,Clyde,Ayr,2.0,2.0,D,0.0,1.0,A,1023.0,"Richmond, C",9.0,7.0,5.0,3.0,0.0,0.0,5.0,5.0,13.0,16.0,2.0,9.0,1.0,1.0,0.0,,10.0,10.0,2.37,3.25,2.52,2.1,3.1,2.7,2.37,3.25,2.5,2.25,3.4,2.5,2.375,3.5,2.375,2.2,3.5,2.62
SC1,19/01/02,Ross County,Partick,0.0,1.0,A,0.0,1.0,A,3043.0,"Hunter, A",8.0,6.0,4.0,3.0,0.0,0.0,3.0,7.0,5.0,9.0,0.0,6.0,0.0,1.0,0.0,,0.0,10.0,3.3,3.45,1.85,3.2,3.1,1.85,2.87,3.6,2.0,3.2,3.4,1.9,3.4,3.5,1.83,3.4,3.5,1.83
SC1,12/01/02,St Mirren,Ross County,1.0,1.0,D,0.0,1.0,A,2079.0,"Dougal, S.",14.0,13.0,5.0,6.0,0.0,1.0,12.0,3.0,12.0,17.0,1.0,2.0,1.0,1.0,0.0,,10.0,10.0,1.6,3.55,4.5,1.6,3.4,3.9,1.67,3.6,4.0,1.62,3.5,4.33,1.67,3.6,4.0,1.61,3.6,4.33
SC1,20/10/01,Clyde,St Mirren,1.0,1.0,D,1.0,0.0,H,2476.0,J Rowbotham,17.0,8.0,7.0,5.0,1.0,0.0,11.0,6.0,15.0,11.0,0.0,2.0,2.0,1.0,0.0,0.0,20.0,10.0,2.6,3.25,2.3,2.5,3.1,2.2,,,,,,,2.62,3.5,2.2,2.62,3.4,2.2
SC1,20/10/01,Partick,Raith Rvs,2.0,1.0,H,1.0,0.0,H,3129.0,K. W. Clark,15.0,6.0,11.0,3.0,1.0,0.0,2.0,4.0,13.0,18.0,3.0,1.0,1.0,4.0,0.0,0.0,10.0,40.0,1.7,3.5,4.0,1.75,3.3,3.4,,,,,,,1.8,3.5,3.5,1.72,3.5,3.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC1,17/11/01,Inverness C,Ross County,3.0,0.0,H,1.0,0.0,H,4513.0,A. Freeland,18.0,6.0,10.0,2.0,0.0,0.0,4.0,6.0,9.0,13.0,1.0,1.0,1.0,3.0,0.0,0.0,10.0,30.0,1.8,3.3,3.7,1.8,3.2,3.3,,,,1.8,3.4,3.5,1.67,3.6,4.0,1.83,3.4,3.5
SC1,02/03/02,Clyde,Falkirk,2.0,3.0,A,0.0,3.0,A,1719.0,"Ritchie, M.",7.0,9.0,3.0,5.0,0.0,1.0,7.0,3.0,8.0,15.0,7.0,6.0,2.0,1.0,0.0,0.0,20.0,10.0,1.85,3.3,3.5,1.8,3.2,3.3,1.83,3.5,3.4,1.909,3.5,3.1,1.909,3.5,3.2,1.83,3.4,3.5
SC1,11/08/01,St Mirren,Clyde,4.0,1.0,H,2.0,1.0,H,3810.0,S.Douglas,11.0,10.0,6.0,3.0,0.0,0.0,3.0,9.0,13.0,14.0,2.0,2.0,1.0,4.0,0.0,0.0,10.0,40.0,,,,1.45,3.5,5.0,1.57,3.5,5.0,,,,1.53,3.6,5.0,1.5,3.6,5.5
SC1,20/04/02,Airdrie,Arbroath,2.0,0.0,H,2.0,0.0,H,1142.0,"Summers, D",9.0,7.0,5.0,1.0,0.0,0.0,9.0,5.0,10.0,16.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3.4,3.4,,,,2.0,3.6,2.87,,,,2.0,3.6,2.875,2.0,3.6,2.87
SC1,29/09/01,Falkirk,Ross County,4.0,2.0,H,0.0,2.0,A,1805.0,T. Brown,23.0,10.0,13.0,5.0,4.0,0.0,8.0,5.0,10.0,11.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,20.0,,,,2.0,3.1,2.8,,,,2.1,3.4,2.8,1.8,3.6,3.4,2.2,3.4,2.7
SC1,19/01/02,Airdrie,Inverness C,3.0,0.0,H,0.0,0.0,D,1506.0,"Orr, R.",4.0,12.0,4.0,7.0,0.0,0.0,6.0,13.0,11.0,16.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,3.45,4.4,1.7,3.2,3.7,1.73,3.5,3.75,1.7,3.5,3.8,1.62,3.6,4.33,1.66,3.6,4.0
SC1,25/08/01,Ayr,Raith Rvs,1.0,1.0,D,1.0,0.0,H,2410.0,S. Dougal,11.0,12.0,4.0,6.0,0.0,0.0,1.0,9.0,18.0,11.0,1.0,2.0,3.0,3.0,0.0,0.0,30.0,30.0,,,,1.5,3.5,4.5,1.5,3.6,5.5,,,,1.5,3.6,5.5,1.5,3.8,5.0
SC1,29/09/01,Partick,Airdrie,1.0,1.0,D,1.0,0.0,H,5061.0,T. M. McCurry,9.0,12.0,5.0,6.0,0.0,0.0,4.0,4.0,16.0,11.0,4.0,1.0,2.0,3.0,1.0,0.0,45.0,30.0,,,,2.2,3.1,2.5,,,,2.38,3.25,2.5,2.25,3.6,2.5,2.25,3.5,2.5
SC1,12/03/02,Airdrie,Falkirk,1.0,0.0,H,0.0,0.0,D,1812.0,"Toner, K. E.",12.0,11.0,7.0,6.0,1.0,1.0,5.0,4.0,14.0,16.0,10.0,6.0,1.0,1.0,0.0,0.0,10.0,10.0,1.77,3.7,3.4,1.8,3.2,3.3,1.91,3.5,3.2,1.8,3.5,3.4,1.909,3.75,3.0,1.72,3.6,3.75
SC1,04/08/01,Airdrie,Raith Rvs,2.0,2.0,D,2.0,0.0,H,1229.0,W. S. G. Young,12.0,12.0,5.0,6.0,2.0,0.0,3.0,7.0,12.0,14.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,,,,2.1,3.0,2.8,2.2,3.5,2.62,2.1,3.4,2.75,2.1,3.5,2.75,2.1,3.4,2.8
SC1,09/02/02,Clyde,Arbroath,1.0,0.0,H,1.0,0.0,H,1189.0,"Frickleton, I. G.",12.0,7.0,3.0,3.0,0.0,0.0,3.0,2.0,8.0,18.0,4.0,3.0,4.0,5.0,0.0,0.0,40.0,50.0,2.1,3.25,2.9,2.0,3.1,2.8,2.0,3.6,2.87,2.0,3.4,2.9,2.1,3.5,2.75,2.0,3.4,3.0
