Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
SC1,08/11/14,Cowdenbeath,Hibernian,1.0,2.0,A,0.0,2.0,A,5.0,,1.62,4.2,3.7,1.67,4.5,3.5,1.65,4.75,3.7,1.65,5.25,4.21,1.65,5.0,3.6,1.7,,,,5.0,4.0,1.67,40.0,5.4,4.71,4.21,3.79,1.73,1.62,32.0,1.6,1.54,2.52,2.37,19.0,0.75,2.11,2.02,1.84,1.81,7.16,4.92,1.45
SC1,27/12/14,Alloa,Queen of Sth,1.0,1.0,D,0.0,1.0,A,4.5,,1.7,4.5,3.6,1.65,4.3,3.4,1.7,4.6,3.6,1.67,5.31,4.02,1.68,4.6,3.8,1.73,,,,4.75,3.75,1.75,47.0,5.39,4.62,4.03,3.7,1.85,1.67,40.0,1.83,1.74,2.18,2.02,25.0,0.75,2.02,1.94,1.92,1.87,4.44,3.9,1.84
SC1,08/04/15,Dumbarton,Hibernian,1.0,2.0,A,0.0,1.0,A,5.5,,1.57,5.85,3.95,1.45,5.5,3.8,1.5,5.75,4.0,1.5,,,,5.5,3.8,1.62,,,,6.5,4.3,1.5,43.0,6.5,5.74,4.55,4.1,1.62,1.49,37.0,1.73,1.64,2.27,2.15,24.0,1.0,2.14,2.06,1.89,1.77,10.65,5.84,1.31
SC1,25/04/15,Queen of Sth,Dumbarton,2.0,1.0,H,0.0,0.0,D,1.36,,7.5,1.36,4.4,6.75,1.33,4.2,8.0,1.36,4.3,7.5,1.35,5.45,8.95,1.4,4.5,8.0,,,,1.36,5.0,9.0,46.0,1.4,1.34,5.45,4.78,9.9,7.66,33.0,1.67,1.53,2.63,2.38,27.0,-1.5,2.04,1.98,1.88,1.83,1.3,5.89,10.16
SC1,02/05/15,Falkirk,Hibernian,0.0,3.0,A,0.0,2.0,A,4.33,,1.75,3.8,3.4,1.8,4.2,3.3,1.75,4.1,3.5,1.8,4.67,3.91,1.77,4.2,3.6,1.85,,,,4.5,3.9,1.75,44.0,4.75,4.21,3.91,3.6,1.85,1.75,35.0,1.78,1.7,2.2,2.07,19.0,0.5,2.15,2.07,1.85,1.77,5.56,4.11,1.65
SC1,25/10/14,Livingston,Queen of Sth,2.0,2.0,D,0.0,1.0,A,3.2,3.6,2.1,2.85,3.4,2.15,3.0,3.1,2.2,3.1,3.3,2.15,3.23,3.76,2.17,2.9,3.6,2.1,,,,3.25,3.6,2.15,42.0,3.25,3.04,3.76,3.42,2.3,2.12,33.0,1.75,1.67,2.24,2.11,22.0,0.25,2.04,1.95,1.91,1.86,4.06,3.8,1.94
SC1,28/02/15,Dumbarton,Queen of Sth,0.0,0.0,D,0.0,0.0,D,4.2,3.75,1.8,3.6,3.4,1.85,3.6,3.2,1.9,4.0,3.4,1.8,4.19,3.86,1.86,4.5,3.6,1.8,,,,4.33,3.8,1.83,46.0,4.5,3.97,3.86,3.6,1.9,1.79,34.0,1.73,1.63,2.3,2.17,22.0,0.5,2.08,2.01,1.86,1.79,5.1,4.2,1.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC1,22/04/15,Livingston,Hibernian,1.0,3.0,A,1.0,2.0,A,5.75,4.0,1.57,5.5,3.8,1.5,5.0,3.7,1.55,5.5,4.0,1.57,5.65,4.26,1.61,5.0,4.2,1.6,,,,5.4,4.0,1.6,44.0,6.2,5.15,4.3,3.95,1.62,1.56,35.0,1.8,1.72,2.2,2.02,23.0,1.0,1.91,1.79,2.13,2.02,5.48,4.22,1.64
SC1,14/03/15,Alloa,Falkirk,1.0,3.0,A,0.0,1.0,A,4.0,3.6,1.85,3.75,3.5,1.8,3.6,3.2,1.9,4.0,3.25,1.9,4.35,3.58,1.9,4.0,3.5,1.91,,,,4.1,3.6,1.9,38.0,4.25,3.82,3.75,3.47,1.91,1.85,27.0,1.91,1.83,2.0,1.88,8.0,0.5,1.98,1.91,1.91,1.89,4.31,3.54,1.94
SC1,17/08/14,Hearts,Hibernian,2.0,1.0,H,0.0,0.0,D,2.1,3.4,3.4,1.9,3.5,3.4,1.9,3.2,3.6,1.95,3.5,3.75,2.1,3.47,3.7,2.05,3.4,3.6,2.0,3.4,3.4,2.05,3.5,3.6,45.0,2.25,2.1,3.5,3.3,3.75,3.28,41.0,2.06,1.97,1.89,1.79,18.0,-0.5,2.25,2.17,1.81,1.7,2.37,3.38,3.21
SC1,31/01/15,Cowdenbeath,Queen of Sth,0.0,5.0,A,0.0,1.0,A,4.75,3.75,1.7,3.6,3.5,1.83,3.8,3.2,1.85,4.1,3.5,1.8,4.58,4.02,1.76,4.0,3.75,1.83,,,,4.3,4.0,1.75,48.0,4.75,4.2,4.02,3.66,1.85,1.74,36.0,1.73,1.63,2.3,2.17,21.0,0.5,2.16,2.07,1.83,1.75,5.04,4.0,1.72
SC1,11/10/14,Alloa,Hearts,0.0,1.0,A,0.0,0.0,D,7.5,5.0,1.36,6.5,4.1,1.4,6.5,4.0,1.4,7.5,4.33,1.4,7.75,4.78,1.43,8.0,4.5,1.4,,,,8.0,5.0,1.4,44.0,9.0,7.04,5.1,4.57,1.43,1.37,35.0,1.63,1.57,2.5,2.3,20.0,1.25,2.02,1.96,1.97,1.86,9.03,5.39,1.36
