Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,LBH,LBD,LBA,SYH,SYD,SYA,WHH,WHD,WHA
,27/10/01,Hamilton,Berwick,0.0,-1.0,A,0.0,1.0,A,2441.0,T. Brown,13.0,7.0,6.0,2.0,0.0,0.0,5.0,5.0,15.0,12.0,0.0,3.0,1.0,1.0,1.0,0.0,35.0,10.0,1.65,3.5,4.25,,,,1.67,3.6,4.0,1.61,3.6,4.33
,09/03/02,Stenhousemuir,Alloa,1.0,0.0,H,1.0,0.0,H,529.0,"McKay, G",9.0,13.0,5.0,3.0,1.0,0.0,5.0,6.0,25.0,9.0,2.0,4.0,2.0,1.0,0.0,0.0,20.0,10.0,2.65,3.5,2.15,2.75,3.5,2.1,2.8,3.4,2.1,2.87,3.3,2.1
,30/03/02,Hamilton,Alloa,1.0,1.0,D,0.0,1.0,A,1963.0,"Cassidy, B. W.",16.0,11.0,3.0,2.0,1.0,0.0,9.0,6.0,14.0,10.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,2.37,3.25,2.52,2.2,3.25,2.75,2.375,3.5,2.375,2.37,3.5,2.37
,16/02/02,Clydebank,Hamilton,1.0,1.0,D,1.0,1.0,D,375.0,"Smith, D",7.0,6.0,4.0,2.0,0.0,0.0,3.0,6.0,15.0,21.0,6.0,3.0,3.0,4.0,1.0,1.0,55.0,65.0,1.73,3.5,4.0,1.91,3.4,3.25,1.667,3.6,4.0,1.83,3.5,3.4
,09/02/02,Alloa,Hamilton,509.0,2.0,D,2.0,1.0,H,626.0,"Mitchell, G. P.",9.0,11.0,7.0,7.0,0.0,0.0,4.0,7.0,10.0,13.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,3.4,2.9,2.0,3.6,2.87,1.909,3.75,3.0,2.1,3.5,2.75
SC2,20/10/01,Forfar,Queen of Sth,0.0,3.0,A,0.0,1.0,A,407.0,B. J. McGarry,6.0,18.0,2.0,8.0,0.0,1.0,4.0,7.0,11.0,10.0,1.0,2.0,2.0,1.0,0.0,0.0,20.0,10.0,2.4,3.15,2.45,,,,2.38,3.5,2.38,2.5,3.4,2.3
SC2,20/10/01,Morton,Alloa,1.0,1.0,D,0.0,0.0,D,1247.0,C.Richmond,15.0,10.0,6.0,3.0,0.0,0.0,7.0,4.0,11.0,9.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,20.0,2.7,3.3,2.15,,,,2.88,3.6,2.0,2.75,3.5,2.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC2,24/11/01,Stenhousemuir,Queen of Sth,1.0,1.0,D,0.0,1.0,A,514.0,A. Hunter,8.0,15.0,5.0,7.0,1.0,1.0,8.0,7.0,16.0,18.0,1.0,5.0,2.0,3.0,0.0,0.0,20.0,30.0,2.35,3.4,2.45,,,,2.5,3.25,2.38,2.37,3.5,2.37
SC2,09/03/02,Queen of Sth,Stranraer,3.0,1.0,H,0.0,0.0,D,2094.0,"McGarry, B. J.",13.0,8.0,6.0,3.0,0.0,1.0,2.0,10.0,13.0,14.0,4.0,0.0,1.0,3.0,0.0,0.0,10.0,30.0,1.87,3.6,3.2,1.8,3.5,3.5,1.8,3.6,3.4,1.8,3.4,3.6
SC2,11/08/01,Stenhousemuir,Stranraer,0.0,0.0,D,0.0,0.0,D,412.0,J Gilmar,10.0,8.0,4.0,2.0,1.0,0.0,8.0,6.0,22.0,24.0,3.0,5.0,2.0,2.0,0.0,0.0,20.0,20.0,,,,2.87,3.6,2.0,2.6,3.5,2.2,2.8,3.4,2.1
SC2,20/04/02,Berwick,Cowdenbeath,1.0,0.0,H,1.0,0.0,H,631.0,"Underhill, J. R.",8.0,6.0,4.0,3.0,1.0,1.0,6.0,2.0,11.0,15.0,8.0,2.0,1.0,3.0,0.0,0.0,10.0,30.0,2.25,3.35,2.7,2.1,3.5,2.75,2.2,3.2,2.8,2.2,3.25,2.75
SC2,29/09/01,Cowdenbeath,Stenhousemuir,1.0,1.0,D,0.0,0.0,D,354.0,C. Murray,18.0,7.0,6.0,4.0,0.0,0.0,5.0,5.0,10.0,8.0,10.0,3.0,1.0,1.0,0.0,1.0,10.0,35.0,,,,,,,2.5,3.6,2.25,2.6,3.5,2.2
SC2,09/02/02,Berwick,Queen of Sth,1.0,0.0,H,1.0,0.0,H,552.0,"Young, W. S. G.",8.0,10.0,7.0,5.0,0.0,0.0,5.0,6.0,9.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,2.52,3.5,2.27,2.25,3.5,2.5,2.5,3.25,2.375,2.62,3.5,2.2
SC2,25/08/01,Hamilton,Forfar,1.0,1.0,D,1.0,0.0,H,2191.0,K. E. Toner ,17.0,11.0,10.0,6.0,0.0,0.0,5.0,8.0,9.0,10.0,4.0,9.0,0.0,2.0,1.0,0.0,25.0,20.0,,,,1.73,3.5,3.75,1.73,3.75,3.6,1.72,3.6,3.75
SC2,29/09/01,Hamilton,Morton,2.0,2.0,D,2.0,1.0,H,3035.0,B. J. McGarry,14.0,9.0,7.0,5.0,0.0,0.0,3.0,4.0,12.0,13.0,4.0,5.0,1.0,0.0,1.0,0.0,35.0,0.0,,,,,,,1.83,3.75,3.2,1.9,3.5,3.2
SC2,16/03/02,Queen of Sth,Cowdenbeath,2.0,1.0,H,1.0,0.0,H,2028.0,"Murray, C",9.0,5.0,5.0,2.0,0.0,0.0,5.0,5.0,12.0,14.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,25.0,1.7,3.35,4.1,1.67,3.6,4.0,1.615,3.6,4.333,1.61,3.6,4.33
SC2,04/08/01,Berwick,Alloa,0.0,4.0,A,0.0,1.0,A,649.0,C.Murray,14.0,10.0,7.0,8.0,0.0,0.0,6.0,4.0,22.0,22.0,0.0,1.0,1.0,2.0,0.0,0.0,10.0,20.0,,,,2.2,3.5,2.62,2.25,3.6,2.5,2.37,3.5,2.37
SC2,26/02/02,Queen of Sth,Morton,6.0,5.0,H,6.0,3.0,H,1242.0,"Melville, C. J.",14.0,11.0,8.0,6.0,2.0,0.0,0.0,9.0,14.0,10.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,3.65,4.45,1.61,4.0,4.0,1.667,3.4,4.333,1.66,3.4,4.33
SC2,03/11/01,Clydebank,Queen of Sth,3.0,0.0,H,3.0,0.0,H,300.0,W. S. G. Young,9.0,4.0,6.0,2.0,0.0,0.0,4.0,3.0,16.0,15.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,10.0,2.37,3.4,2.42,,,,2.25,3.6,2.5,2.4,3.4,2.4
SC2,19/01/02,Queen of Sth,Stenhousemuir,1.0,0.0,H,0.0,0.0,D,1224.0,"Fyfe, I. M.",13.0,2.0,5.0,0.0,3.0,0.0,3.0,2.0,14.0,19.0,6.0,5.0,3.0,3.0,0.0,1.0,30.0,55.0,1.9,3.3,3.5,1.91,3.5,3.2,1.83,3.5,3.4,1.8,3.6,3.4
SC2,02/09/01,Queen of Sth,Stenhousemuir,2.0,0.0,H,1.0,0.0,H,1153.0,D. Brines,12.0,12.0,8.0,5.0,0.0,1.0,10.0,3.0,16.0,11.0,5.0,3.0,2.0,2.0,0.0,0.0,20.0,20.0,,,,,,,1.91,3.75,3.0,1.9,3.5,3.2
SC2,30/03/02,Queen of Sth,Berwick,0.0,0.0,D,0.0,0.0,D,2758.0,"Smith, D",10.0,6.0,3.0,0.0,0.0,0.0,7.0,3.0,21.0,24.0,1.0,0.0,1.0,2.0,1.0,0.0,35.0,20.0,1.6,3.5,4.6,1.61,3.5,4.5,1.533,3.6,5.0,1.5,3.8,5.0
SC2,02/02/02,Clydebank,Stranraer,1.0,2.0,A,1.0,0.0,H,233.0,"Gemmill, A. C.",12.0,14.0,7.0,6.0,1.0,0.0,6.0,2.0,17.0,18.0,3.0,6.0,2.0,2.0,1.0,0.0,45.0,20.0,1.8,3.45,3.55,1.73,3.5,3.75,1.8,3.25,3.75,1.9,3.5,3.2
SC2,12/01/02,Cowdenbeath,Alloa,1.0,2.0,A,0.0,0.0,D,394.0,"Thomson, G",8.0,13.0,2.0,7.0,0.0,1.0,6.0,9.0,7.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,3.45,2.45,2.37,3.5,2.37,2.5,3.25,2.38,2.37,3.5,2.37
SC2,20/10/01,Berwick,Cowdenbeath,2.0,5.0,A,1.0,3.0,A,472.0,J. R. Underhill,10.0,11.0,5.0,5.0,1.0,0.0,3.0,4.0,13.0,19.0,1.0,1.0,1.0,3.0,0.0,0.0,10.0,30.0,2.2,3.4,2.55,,,,2.25,3.6,2.5,2.25,3.5,2.5
SC2,02/03/02,Clydebank,Queen of Sth,0.0,1.0,A,0.0,1.0,A,407.0,"Fyfe, I. M.",8.0,7.0,2.0,5.0,0.0,0.0,9.0,8.0,13.0,15.0,0.0,6.0,1.0,1.0,0.0,0.0,10.0,10.0,1.97,3.25,3.25,2.1,3.5,2.75,2.0,3.4,3.0,2.1,3.2,3.0
SC2,09/04/02,Morton,Forfar,1.0,4.0,A,1.0,2.0,A,681.0,"Hunter, A",15.0,14.0,6.0,9.0,1.0,1.0,5.0,5.0,8.0,13.0,4.0,2.0,1.0,0.0,0.0,0.0,10.0,0.0,2.8,3.65,2.0,2.75,3.5,2.1,,,,2.875,3.6,2.0
SC2,16/03/02,Clydebank,Alloa,1.0,1.0,D,0.0,1.0,A,307.0,"Toner, K. E.",15.0,3.0,3.0,1.0,3.0,0.0,3.0,4.0,10.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,2.25,3.4,2.55,2.25,3.4,2.62,2.2,3.5,2.6,2.25,3.3,2.62
SC2,29/12/01,Stranraer,Cowdenbeath,2.0,1.0,H,1.0,0.0,H,387.0,"Mack, E. D.",13.0,7.0,10.0,4.0,0.0,0.0,7.0,3.0,10.0,14.0,5.0,2.0,1.0,2.0,1.0,0.0,35.0,20.0,2.05,3.45,2.85,2.0,3.6,2.87,2.0,3.6,2.88,2.1,3.5,2.75
SC2,20/04/02,Morton,Alloa,0.0,0.0,D,0.0,0.0,D,928.0,"Smith, D",12.0,5.0,5.0,0.0,0.0,1.0,3.0,7.0,10.0,10.0,4.0,2.0,1.0,0.0,0.0,0.0,10.0,0.0,4.5,3.75,1.6,3.75,3.5,1.73,4.5,3.75,1.571,4.2,4.0,1.57
