Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SP2,12/11/06,Castellon,Sp Gijon,0,-1,A,0,1,A,2.4,2.75,2.87,2.35,2.65,3.25,2.35,2.75,3.0,2.4,2.7,2.9,2.37,2.87,2.8,2.5,2.75,2.88,2.4,2.9,2.75,2.5,2.8,2.8,2.3,2.7,3.1,32.0,2.5,2.37,3.1,2.79,,2.96,21.0,2.45,2.27,1.55,1.51,11.0,0.0,1.73,1.66,2.27,2.13
SP2,14/10/06,Real Madrid B,Ciudad de Murcia,2,-1,H,0,1,A,2.4,2.87,3.0,2.4,2.75,2.95,2.4,2.8,2.85,2.4,2.9,2.7,2.37,3.0,2.75,2.5,2.75,2.9,2.5,2.9,2.65,2.5,2.8,2.8,2.4,2.75,2.9,28.0,2.5,2.44,2.9,2.81,,2.86,15.0,2.15,2.1,1.65,1.58,5.0,0.0,1.78,1.74,2.08,2.06
SP2,17/09/06,Murcia,Castellon,2,1,H,0,0,D,1.9,2.87,4.5,1.85,2.9,4.25,1.9,2.9,3.9,1.9,2.9,3.8,1.8,3.1,4.0,1.8,3.0,4.5,1.9,2.9,4.0,1.91,2.88,4.2,1.85,2.9,4.2,33.0,1.95,1.81,3.28,2.98,,4.42,18.0,2.2,2.03,1.8,1.64,8.0,-0.5,1.83,1.79,2.11,2.1
SP2,11/03/07,Almeria,Alaves,2,2,D,1,0,H,1.66,3.1,5.0,1.7,3.15,4.85,1.7,3.0,4.75,1.75,3.0,4.4,1.7,3.1,5.0,1.73,3.1,4.75,1.65,3.1,5.0,1.73,3.0,5.0,1.7,3.1,4.8,31.0,1.8,1.73,3.2,3.06,,4.69,25.0,2.4,2.14,1.7,1.57,16.0,-0.5,1.83,1.77,2.13,2.1
SP2,03/06/07,Numancia,Poli Ejido,3,1,H,1,0,H,2.05,2.9,3.6,1.95,3.0,3.75,2.0,2.9,3.5,2.0,3.0,3.3,2.0,2.75,4.0,2.0,3.0,3.6,2.1,3.0,3.2,2.25,2.5,3.75,2.0,3.0,3.6,32.0,2.25,2.03,3.1,2.89,,3.57,22.0,2.03,1.93,1.9,1.8,13.0,-0.25,1.94,1.91,2.0,1.98
SP2,11/11/06,Hercules,Numancia,2,0,H,1,0,H,2.25,2.8,3.1,2.3,2.75,3.2,2.2,2.8,3.2,2.2,2.8,3.1,2.1,3.0,3.2,2.3,2.8,3.1,2.25,2.9,3.0,2.2,2.88,3.2,2.25,2.8,3.1,33.0,2.3,2.22,3.15,2.84,,3.16,20.0,2.25,2.18,1.6,1.56,10.0,-0.25,2.0,1.98,1.9,1.89
SP2,03/02/07,Alaves,Malaga,0,1,A,0,0,D,1.95,3.0,3.8,1.95,2.9,3.95,1.9,2.85,4.0,1.9,2.8,4.0,1.83,2.87,4.33,1.91,3.0,4.0,1.95,3.0,3.6,1.75,3.0,4.75,1.9,3.0,3.75,27.0,1.96,1.9,3.0,2.91,,4.01,22.0,1.98,1.93,1.95,1.88,14.0,-0.5,2.05,1.98,1.92,1.87
SP2,26/05/07,Ciudad de Murcia,Numancia,1,0,H,1,0,H,2.0,3.0,3.85,1.9,2.95,4.05,1.95,2.75,4.0,2.0,2.8,3.6,1.8,3.1,4.2,1.91,2.85,4.2,2.05,2.8,3.6,2.1,3.0,3.3,2.0,2.9,3.6,24.0,2.1,1.98,3.1,2.94,,3.7,15.0,2.2,2.04,1.75,1.68,11.0,-0.25,1.86,1.84,2.07,2.04
SP2,21/10/06,Lorca,Ponferradina,1,0,H,0,0,D,2.05,2.8,3.75,2.1,2.8,3.6,2.05,2.8,3.6,2.0,2.8,3.6,2.1,3.0,3.2,2.1,2.8,3.6,2.05,2.9,3.4,2.05,2.8,3.75,2.1,2.8,3.4,28.0,2.1,2.05,2.95,2.85,,3.58,16.0,2.35,2.22,1.55,1.53,6.0,0.0,1.5,1.44,2.4,2.35
SP2,27/05/07,Real Madrid B,Tenerife,2,3,A,1,1,D,1.85,3.2,4.33,1.9,3.1,3.85,1.9,3.0,3.75,1.9,3.1,3.5,1.8,3.2,4.0,1.91,2.95,4.0,1.9,3.1,3.6,2.0,2.88,3.75,1.85,3.2,3.75,25.0,2.0,1.87,3.25,3.1,,3.85,17.0,1.95,1.82,2.0,1.89,9.0,-0.5,1.9,1.88,2.09,2.0
